Date,Close/Last,Volume,Open,High,Low
2020-01-02,50.5,248423.0,50.64,50.64,49.9
2020-01-03,50.13,264312.0,49.74,50.45,49.74
2020-01-06,50.52,296968.0,49.52,50.56,49.43
2020-01-07,51.14,230838.0,50.66,51.3022,50.53
2020-01-08,52.29,378759.0,51.11,52.51,51.1062
2020-01-09,52.35,290151.0,52.73,52.8451,52.0205
2020-01-10,51.97,227722.0,52.53,52.53,51.86
2020-01-13,53.04,345532.0,52.53,53.11,52.3
2020-01-14,53.26,351789.0,53.18,53.7,52.555
2020-01-15,53.43,335329.0,53.2,54.0352,53.15
2020-01-16,54.01,264928.0,53.65,54.01,53.3201
2020-01-17,53.67,337375.0,54.17,54.17,53.5037
2020-01-21,53.59,360172.0,53.8,54.03,53.43
2020-01-22,53.84,357702.0,54.09,54.4042,53.7521
2020-01-23,53.8,266244.0,53.77,53.989,53.07
2020-01-24,52.8,358751.0,53.96,54.16,52.4101
2020-01-27,51.85,476898.0,51.2,52.19,51.0
2020-01-28,52.82,278335.0,52.3,52.89,52.14
2020-01-29,52.85,210053.0,53.04,53.26,52.68
2020-01-30,52.95,282237.0,52.68,53.33,52.4
2020-01-31,51.8,358934.0,52.65,52.7174,51.42
2020-02-03,53.96,526499.0,52.31,53.99,52.15
2020-02-04,56.32,664515.0,55.72,57.039,55.18
2020-02-05,55.52,459888.0,56.77,56.77,55.1518
2020-02-06,56.17,406805.0,55.73,56.6243,55.23
2020-02-07,55.84,309000.0,56.14,56.45,55.7597
2020-02-10,56.89,531623.0,56.29,57.02,56.22
2020-02-11,57.79,557226.0,57.64,58.14,57.07
2020-02-12,58.33,514766.0,58.4,58.47,57.801
2020-02-13,58.76,485419.0,58.06,59.24,57.8031
2020-02-14,58.69,338822.0,58.9,59.14,58.57
2020-02-18,59.16,554737.0,58.99,59.16,58.5
2020-02-19,60.37,650570.0,60.0,60.73,59.6801
2020-02-20,59.89,569303.0,60.16,60.6095,58.8213
2020-02-21,58.61,540667.0,59.54,59.6,58.2052
2020-02-24,56.02,1184208.0,55.44,56.58,55.0
2020-02-25,54.1,819105.0,56.65,56.8678,53.76
2020-02-26,53.54,665163.0,54.4,55.16,53.0701
2020-02-27,51.71,995256.0,52.25,54.12,50.73
2020-02-28,52.84,1032332.0,49.68,52.84,49.6
2020-03-02,54.08,851653.0,53.55,54.11,52.14
2020-03-03,52.99,903785.0,54.69,55.5479,51.88
2020-03-04,54.79,559444.0,54.17,54.83,52.8829
2020-03-05,53.51,505943.0,53.2,54.4519,52.9614
2020-03-06,52.11,703763.0,51.58,52.9,51.09
2020-03-09,47.78,870681.0,48.0,49.8069,46.904
2020-03-10,50.05,747195.0,49.9,50.05,47.5
2020-03-11,46.94,682685.0,48.66,49.29,46.39
2020-03-12,41.03,1298596.0,43.44,43.86,41.03
2020-03-13,42.9,1176413.0,43.64,44.18,39.0962
2020-03-16,36.22,1298036.0,37.55,39.48,36.22
2020-03-17,38.23,905688.0,37.36,39.6599,34.7325
2020-03-18,34.69,1072783.0,35.5,37.4299,33.0
2020-03-19,37.81,901458.0,34.8,38.68,34.0691
2020-03-20,37.85,955971.0,39.1,40.57,37.8101
2020-03-23,38.35,966437.0,37.55,39.25,36.63
2020-03-24,42.15,1024938.0,41.13,42.24,40.41
2020-03-25,43.79,1292847.0,43.26,45.47,42.04
2020-03-26,45.97,1417931.0,44.26,46.54,44.26
2020-03-27,43.76,796190.0,44.46,44.95,43.2
2020-03-30,44.6,979831.0,44.19,44.72,42.8554
2020-03-31,44.0,606637.0,44.37,45.38,43.23
2020-04-01,40.24,776404.0,42.42,42.64,39.8288
2020-04-02,40.49,516762.0,39.63,41.7,39.41
2020-04-03,40.2,493675.0,40.95,41.5,39.8001
2020-04-06,44.18,579007.0,42.38,44.31,42.02
2020-04-07,44.22,608172.0,46.17,46.5,44.051
2020-04-08,46.01,546457.0,45.17,46.21,44.4828
2020-04-09,47.29,2232791.0,47.04,47.95,46.51
2020-04-13,47.85,573205.0,47.17,47.93,46.1111
2020-04-14,50.38,900589.0,49.72,50.827,49.37
2020-04-15,49.56,809986.0,49.48,50.03,48.6001
2020-04-16,50.6,684573.0,49.92,50.8865,49.3
2020-04-17,52.26,981507.0,52.11,52.35,51.3001
2020-04-20,52.8,840055.0,51.64,53.8684,51.0101
2020-04-21,50.61,711075.0,51.99,52.26,49.75
2020-04-22,52.42,519268.0,52.16,52.68,51.3
2020-04-23,52.01,654058.0,52.43,53.4688,51.9265
2020-04-24,53.06,496655.0,52.38,53.359,51.7305
2020-04-27,55.64,1905941.0,54.07,56.4289,53.755
2020-04-28,54.05,893243.0,56.73,56.73,53.38
2020-04-29,56.63,1011553.0,55.69,56.87,54.6024
2020-04-30,55.33,781334.0,56.72,57.0,55.1001
2020-05-01,52.38,870992.0,53.82,54.23,51.6701
2020-05-04,54.31,460041.0,51.71,54.31,51.53
2020-05-05,55.06,637363.0,55.53,56.02,54.7601
2020-05-06,55.33,614225.0,55.33,55.85,54.75
2020-05-07,56.6,638887.0,56.09,56.899,55.64
2020-05-08,58.3,621867.0,57.16,58.449,56.5
2020-05-11,59.68,767546.0,57.55,60.19,57.3888
2020-05-12,58.16,952196.0,60.5,60.5,58.16
2020-05-13,56.33,926863.0,58.03,58.7162,54.77
2020-05-14,56.25,1023597.0,55.43,56.45,54.31
2020-05-15,58.09,493768.0,55.83,58.22,55.517
2020-05-18,59.88,826205.0,60.07,60.64,59.62
