Date,Close/Last,Volume,Open,High,Low
2020-01-02,$333.32,4548221,$328.55,$333.35,$327.70
2020-01-03,$332.76,3878374,$330.63,$334.89,$330.30
2020-01-06,$333.74,5357973,$329.30,$334.86,$327.88
2020-01-07,$337.28,9942277,$334.26,$344.19,$330.71
2020-01-08,$331.37,8246250,$332.40,$334.03,$329.60
2020-01-09,$336.34,8183707,$334.95,$341.73,$332.05
2020-01-10,$329.92,7170124,$335.56,$337.70,$329.4548
2020-01-13,$330.22,5655345,$332.40,$334.10,$330.08
2020-01-14,$332.35,6952018,$330.76,$335.35,$328.28
2020-01-15,$329.80,4578332,$332.35,$333.11,$329.69
2020-01-16,$332.00,4024079,$331.05,$332.87,$329.31
2020-01-17,$324.15,11061720,$332.39,$332.50,$323.00
2020-01-21,$313.37,19317990,$322.60,$326.5999,$305.75
2020-01-22,$309.00,18792600,$309.82,$312.8399,$302.72
2020-01-23,$317.79,9702076,$308.50,$318.17,$307.70
2020-01-24,$323.05,17798200,$322.00,$326.20,$312.51
2020-01-27,$316.60,7468146,$316.21,$321.2564,$314.5819
2020-01-28,$316.56,5502155,$318.05,$319.355,$314.00
2020-01-29,$322.02,12458420,$324.35,$327.175,$319.14
2020-01-30,$323.30,6021977,$320.50,$325.35,$317.635
2020-01-31,$318.27,4999608,$321.75,$321.93,$316.99
2020-02-03,$316.00,4847667,$318.75,$320.7399,$314.88
2020-02-04,$317.94,3779766,$318.28,$319.48,$315.03
2020-02-05,$329.55,6071783,$320.50,$329.68,$319.23
2020-02-06,$341.43,12845460,$330.91,$343.44,$325.66
2020-02-07,$336.75,5337796,$340.37,$340.74,$335.69
2020-02-10,$344.67,5876407,$337.22,$345.94,$336.3201
2020-02-11,$344.42,5311518,$347.64,$348.0745,$342.10
2020-02-12,$347.45,4421510,$346.42,$349.95,$345.85
2020-02-13,$342.82,3783073,$344.32,$347.89,$342.63
2020-02-14,$340.49,4199751,$342.30,$344.50,$338.00
2020-02-18,$338.88,2908141,$338.77,$339.99,$336.10
2020-02-19,$338.30,4935730,$338.12,$341.4742,$335.861
2020-02-20,$336.28,2807518,$338.29,$341.24,$335.39
2020-02-21,$330.38,3709888,$334.05,$334.6599,$330.23
2020-02-24,$317.90,6073231,$320.00,$321.74,$316.33
2020-02-25,$304.14,8052504,$318.26,$320.64,$303.63
2020-02-26,$305.59,6996558,$307.00,$315.22,$304.06
2020-02-27,$287.76,10982360,$300.37,$301.00,$284.29
2020-02-28,$275.11,15375140,$278.07,$282.86,$269.60
2020-03-02,$289.27,11012270,$279.54,$291.7099,$274.29
2020-03-03,$280.62,7499341,$292.00,$297.44,$278.08
2020-03-04,$283.12,6986113,$284.55,$285.91,$277.01
2020-03-05,$260.37,14669060,$275.79,$276.31,$259.65
2020-03-06,$262.33,12861830,$253.70,$264.29,$249.80
2020-03-09,$227.17,11585500,$238.004,$241.48,$224.37
2020-03-10,$231.01,13059630,$237.00,$237.83,$215.00
2020-03-11,$189.08,28571910,$222.99,$226.99,$187.00
2020-03-12,$154.84,31734390,$160.53,$189.85,$154.813
2020-03-13,$170.20,21168470,$174.97,$178.28,$161.3755
2020-03-16,$129.61,26844390,$149.42,$151.00,$128.76
2020-03-17,$124.14,54492220,$132.51,$134.96,$101.25
2020-03-18,$101.89,61943230,$99.86,$107.85,$89.00
2020-03-19,$97.71,40210590,$98.80,$103.57,$90.35
2020-03-20,$95.01,41370710,$99.85,$107.00,$94.28
2020-03-23,$105.62,46140130,$98.75,$114.49,$93.56
2020-03-24,$127.68,43683120,$123.68,$127.96,$116.13
2020-03-25,$158.73,77825910,$154.90,$174.77,$141.00
2020-03-26,$180.55,63504050,$172.29,$186.48,$167.18
2020-03-27,$162.00,47880170,$172.00,$172.92,$155.5401
2020-03-30,$152.28,51052460,$153.81,$153.81,$140.68
2020-03-31,$149.14,29954050,$155.00,$160.64,$149.00
2020-04-01,$130.70,41899750,$138.91,$144.38,$130.00
2020-04-02,$123.27,42372380,$128.51,$136.68,$120.0204
2020-04-03,$124.52,37347390,$125.00,$131.29,$122.50
2020-04-06,$148.77,51085490,$133.70,$149.69,$129.21
2020-04-07,$141.58,56699070,$162.00,$164.80,$140.26
2020-04-08,$146.87,41350990,$147.51,$154.00,$144.55
2020-04-09,$151.84,38049550,$154.71,$157.98,$150.09
2020-04-13,$147.33,26034100,$155.50,$156.00,$146.26
2020-04-14,$141.00,33970450,$150.51,$152.40,$140.00
2020-04-15,$145.98,39297630,$139.00,$148.6873,$132.90
2020-04-16,$134.24,41364810,$141.46,$143.24,$134.00
2020-04-17,$154.00,52389410,$149.41,$154.00,$145.00
2020-04-20,$143.61,34983830,$147.21,$151.6299,$142.50
2020-04-21,$136.33,27043790,$139.01,$141.8962,$135.45
2020-04-22,$134.97,22842630,$140.42,$140.8199,$134.5202
2020-04-23,$137.74,25936400,$136.50,$142.38,$136.05
2020-04-24,$128.98,35947670,$137.00,$137.57,$128.33
2020-04-27,$128.68,34562990,$129.97,$131.20,$123.83
2020-04-28,$131.30,37806920,$133.88,$137.20,$127.74
2020-04-29,$139.00,60454410,$138.08,$147.18,$135.25
2020-04-30,$141.02,37876640,$137.67,$144.65,$132.31
2020-05-01,$133.37,36613110,$143.23,$143.71,$132.84
