Date,Close/Last,Volume,Open,High,Low
2020-01-02,$150.53,3311940,$149.00,$150.55,$147.977
2020-01-03,$148.44,3100588,$148.77,$149.96,$147.45
2020-01-06,$148.34,2552146,$147.27,$148.56,$146.5408
2020-01-07,$146.38,2852082,$147.35,$147.57,$145.51
2020-01-08,$147.68,2153182,$146.83,$148.57,$146.4584
2020-01-09,$147.31,2272709,$147.81,$147.969,$146.51
2020-01-10,$146.13,2393712,$147.45,$147.72,$145.83
2020-01-13,$146.82,3356908,$146.53,$146.83,$145.55
2020-01-14,$146.68,2743259,$147.45,$147.98,$146.31
2020-01-15,$145.57,2640634,$146.22,$146.74,$145.20
2020-01-16,$147.87,3070921,$146.43,$147.93,$146.24
2020-01-17,$147.78,3331614,$147.21,$148.2742,$146.60
2020-01-21,$145.85,2476809,$147.20,$147.87,$145.69
2020-01-22,$142.63,3602818,$146.25,$146.56,$142.52
2020-01-23,$142.75,3182744,$141.81,$143.21,$139.80
2020-01-24,$140.38,2526156,$142.55,$142.70,$139.26
2020-01-27,$135.73,2920525,$136.90,$137.81,$135.57
2020-01-28,$136.74,2763803,$137.02,$137.60,$135.62
2020-01-29,$135.78,2620618,$137.59,$137.76,$135.67
2020-01-30,$135.37,3862645,$134.76,$135.97,$132.91
2020-01-31,$131.35,6785669,$133.82,$134.99,$130.54
2020-02-03,$129.77,4385718,$131.44,$133.16,$129.30
2020-02-04,$133.51,3501629,$133.00,$134.78,$132.68
2020-02-05,$137.44,4448092,$135.55,$137.47,$135.44
2020-02-06,$137.25,2283759,$138.20,$138.33,$136.13
2020-02-07,$133.37,3812251,$136.04,$136.49,$133.00
2020-02-10,$134.32,2331632,$133.04,$134.33,$132.78
2020-02-11,$136.19,2381972,$135.49,$137.23,$135.06
2020-02-12,$139.59,3221976,$138.40,$139.94,$138.09
2020-02-13,$139.72,3318815,$140.00,$140.50,$138.43
2020-02-14,$137.99,2813705,$139.49,$139.6155,$136.89
2020-02-18,$136.58,3869820,$137.46,$138.57,$135.08
2020-02-19,$136.86,2134929,$136.79,$137.2099,$136.06
2020-02-20,$136.93,2678315,$136.26,$138.89,$136.20
2020-02-21,$137.21,2855843,$136.50,$137.44,$135.11
2020-02-24,$132.17,4964814,$132.53,$133.8595,$132.05
2020-02-25,$129.00,4840239,$132.97,$133.14,$128.25
2020-02-26,$128.25,3904420,$129.65,$130.99,$127.55
2020-02-27,$123.27,7368998,$125.60,$128.53,$123.22
2020-02-28,$124.24,8301938,$119.57,$124.24,$119.03
2020-03-02,$127.60,6100195,$125.05,$127.88,$123.005
2020-03-03,$124.38,6358116,$127.00,$129.56,$123.7824
2020-03-04,$127.40,5074885,$126.07,$127.44,$124.31
2020-03-05,$121.97,6015298,$123.15,$124.85,$121.24
2020-03-06,$121.41,5768074,$119.00,$121.85,$118.83
2020-03-09,$104.07,8636218,$112.99,$112.99,$104.03
2020-03-10,$106.49,8293227,$108.64,$109.06,$99.11
2020-03-11,$100.69,6546771,$103.80,$104.745,$100.07
2020-03-12,$92.26,10285930,$93.50,$94.28,$87.50
2020-03-13,$99.64,8718635,$98.39,$99.91,$90.14
2020-03-16,$93.41,9898962,$89.00,$105.85,$88.50
2020-03-17,$100.20,7206113,$96.01,$100.44,$92.97
2020-03-18,$100.12,6995124,$93.99,$102.9514,$93.105
2020-03-19,$103.01,6870804,$99.23,$104.40,$97.25
2020-03-20,$95.50,7650329,$103.12,$103.99,$94.16
2020-03-23,$91.85,6737514,$93.90,$96.244,$90.64
2020-03-24,$101.34,7417117,$96.06,$102.03,$95.17
2020-03-25,$104.67,6578066,$101.17,$108.50,$98.501
2020-03-26,$110.50,6060704,$104.85,$110.97,$102.8927
2020-03-27,$105.44,5746496,$104.43,$109.64,$103.40
2020-03-30,$111.71,5725565,$106.33,$112.84,$104.93
2020-03-31,$116.04,8979915,$110.73,$116.91,$110.26
2020-04-01,$111.35,6846994,$112.09,$116.75,$109.50
2020-04-02,$116.74,8106522,$111.23,$118.52,$111.13
2020-04-03,$114.67,5036565,$115.50,$116.84,$112.12
2020-04-06,$120.43,5785626,$120.04,$121.73,$118.13
2020-04-07,$121.92,8489853,$122.89,$128.80,$120.51
2020-04-08,$127.40,4686055,$122.99,$128.176,$121.04
2020-04-09,$125.03,4753459,$128.65,$129.5998,$123.15
2020-04-13,$114.14,10519610,$119.95,$120.05,$113.58
2020-04-14,$116.48,7166341,$116.50,$117.84,$114.51
2020-04-15,$111.53,5652807,$112.96,$113.10,$109.80
2020-04-16,$113.22,5926446,$111.85,$113.47,$108.86
2020-04-17,$116.30,4132254,$114.45,$116.54,$113.85
2020-04-20,$114.60,4083843,$114.44,$117.07,$112.12
2020-04-21,$109.85,5743280,$111.04,$111.04,$108.60
2020-04-22,$110.64,3795100,$112.03,$112.10,$109.2128
2020-04-23,$112.91,3545433,$111.33,$115.23,$110.95
2020-04-24,$114.04,3045999,$113.99,$114.38,$111.21
2020-04-27,$115.20,5344823,$110.85,$116.13,$109.73
2020-04-28,$115.46,5604649,$117.86,$118.00,$113.37
2020-04-29,$120.06,4261141,$116.96,$120.82,$116.53
2020-04-30,$116.38,4040514,$118.00,$118.25,$115.33
2020-05-01,$110.88,3960387,$114.00,$114.59,$110.57
2020-05-04,$107.72,4500672,$110.02,$110.28,$106.58
2020-05-05,$108.91,3477657,$109.24,$111.09,$108.74
2020-05-06,$107.67,4465270,$110.03,$110.24,$106.70
2020-05-07,$107.29,4379182,$109.02,$110.0501,$106.78
2020-05-08,$112.11,3913422,$108.97,$112.20,$108.3026
2020-05-11,$108.61,4207282,$110.16,$110.77,$108.1801
2020-05-12,$105.00,3874063,$109.11,$109.33,$105.00
2020-05-13,$104.48,5376118,$105.14,$105.29,$102.55
2020-05-14,$106.19,5542426,$102.50,$106.28,$100.22
2020-05-15,$107.92,6583120,$105.18,$107.99,$104.28
2020-05-18,$115.02,5604429,$112.22,$115.66,$112.0061
2020-05-19,$112.08,3404897,$114.95,$115.44,$112.01
2020-05-20,$115.69,3735708,$113.31,$117.48,$113.05
2020-05-21,$114.06,2342645,$114.95,$115.68,$113.82
2020-05-22,$112.47,2735070,$114.13,$114.16,$111.47
2020-05-26,$117.41,4185148,$115.98,$118.5623,$115.98
2020-05-27,$122.42,4462678,$119.72,$122.4899,$119.53
2020-05-28,$120.74,3744246,$124.75,$124.83,$120.28
2020-05-29,$120.13,4278095,$119.63,$120.71,$117.57
2020-06-01,$120.50,2133655,$119.86,$121.20,$117.61
