Date,Close/Last,Volume,Open,High,Low
2020-01-02,$54.99,11099120,$55.32,$55.43,$54.76
2020-01-03,$54.69,11354500,$54.32,$54.99,$54.09
2020-01-06,$54.67,14698440,$54.65,$54.905,$54.52
2020-01-07,$54.25,10230670,$54.45,$54.60,$54.15
2020-01-08,$54.35,10676710,$54.27,$54.64,$54.15
2020-01-09,$55.34,15410150,$55.00,$55.395,$54.839
2020-01-10,$55.53,13041110,$55.48,$55.93,$55.45
2020-01-13,$56.13,14303170,$55.53,$56.23,$55.42
2020-01-14,$56.00,16347160,$56.24,$56.292,$55.83
2020-01-15,$56.70,17735380,$56.00,$56.98,$56.00
2020-01-16,$56.82,10234420,$56.85,$56.95,$56.605
2020-01-17,$56.94,14264300,$56.87,$57.15,$56.80
2020-01-21,$57.17,11968920,$56.85,$57.245,$56.5745
2020-01-22,$57.61,12869730,$57.25,$57.64,$57.1799
2020-01-23,$57.83,12858950,$57.38,$57.845,$57.24
2020-01-24,$57.68,8594325,$57.85,$57.87,$57.46
2020-01-27,$57.48,14359940,$57.21,$57.85,$57.13
2020-01-28,$57.01,15240430,$57.45,$57.75,$56.97
2020-01-29,$57.01,13173960,$57.00,$57.2571,$56.66
2020-01-30,$58.86,20225580,$57.93,$58.98,$57.76
2020-01-31,$58.40,17685230,$58.97,$59.075,$58.145
2020-02-03,$58.58,12336760,$58.75,$58.97,$58.52
2020-02-04,$58.84,15417920,$58.75,$59.45,$58.62
2020-02-05,$58.85,11414910,$58.90,$59.08,$58.535
2020-02-06,$58.99,9347024,$58.98,$59.34,$58.84
2020-02-07,$59.19,8757800,$58.88,$59.315,$58.85
2020-02-10,$59.75,7984915,$59.32,$59.84,$59.285
2020-02-11,$59.59,7431244,$59.72,$59.80,$59.32
2020-02-12,$59.41,9179101,$59.48,$59.765,$59.315
2020-02-13,$59.61,8173191,$59.38,$59.84,$59.21
2020-02-14,$59.95,9965811,$59.63,$60.07,$59.62
2020-02-18,$59.53,10076120,$59.81,$59.93,$59.45
2020-02-19,$59.77,6265794,$59.51,$60.00,$59.47
2020-02-20,$59.72,7597337,$59.68,$59.86,$59.11
2020-02-21,$60.13,10842360,$59.51,$60.13,$59.43
2020-02-24,$58.65,14415500,$59.11,$59.80,$58.57
2020-02-25,$57.82,15915090,$58.70,$59.20,$57.62
2020-02-26,$57.60,15839660,$57.98,$58.47,$57.475
2020-02-27,$54.93,23754010,$57.15,$57.89,$54.88
2020-02-28,$53.49,40891820,$53.83,$53.89,$51.58
2020-03-02,$55.92,25698630,$53.93,$55.96,$53.70
2020-03-03,$56.06,27099170,$56.76,$57.49,$55.64
2020-03-04,$58.92,20526140,$56.41,$59.00,$56.41
2020-03-05,$56.74,17948490,$57.80,$58.17,$56.19
2020-03-06,$55.26,22353930,$54.94,$55.91,$53.98
2020-03-09,$51.86,27898260,$52.05,$53.58,$51.475
2020-03-10,$53.66,27457400,$53.22,$53.795,$51.17
2020-03-11,$52.21,22660710,$52.35,$52.65,$51.14
2020-03-12,$47.16,31913100,$48.54,$49.93,$46.69
2020-03-13,$48.47,33697150,$49.51,$49.56,$46.605
2020-03-16,$45.26,28682290,$42.24,$47.88,$41.17
2020-03-17,$47.18,32106680,$45.88,$47.50,$45.37
2020-03-18,$44.85,35408290,$44.74,$45.15,$41.59
2020-03-19,$41.83,41956850,$44.36,$44.66,$41.04
2020-03-20,$38.30,51513500,$41.95,$42.07,$37.51
2020-03-23,$37.56,44978500,$38.755,$38.8862,$36.27
2020-03-24,$39.45,49096210,$41.22,$41.40,$38.83
2020-03-25,$41.61,42511650,$40.63,$43.45,$39.91
2020-03-26,$44.29,37828290,$42.84,$45.27,$42.45
2020-03-27,$42.81,23297900,$43.66,$44.03,$42.40
2020-03-30,$45.00,23445970,$43.04,$45.56,$43.04
2020-03-31,$44.25,25373930,$45.07,$45.51,$44.06
2020-04-01,$42.12,21936410,$42.48,$43.65,$41.80
2020-04-02,$43.95,17621880,$42.22,$44.19,$41.8623
2020-04-03,$43.83,14207110,$43.58,$44.335,$43.31
2020-04-06,$46.67,22849980,$45.39,$47.01,$44.69
2020-04-07,$46.51,21279570,$48.50,$48.60,$46.48
2020-04-08,$47.82,18937130,$46.64,$48.09,$46.33
2020-04-09,$49.00,19167280,$48.44,$49.73,$48.35
2020-04-13,$46.93,19586020,$48.35,$48.64,$46.50
2020-04-14,$48.92,21801880,$47.94,$49.25,$46.93
2020-04-15,$47.61,12893170,$47.71,$48.40,$47.41
2020-04-16,$47.10,17606780,$47.40,$47.85,$46.76
2020-04-17,$48.06,19844640,$48.30,$48.30,$47.37
2020-04-20,$46.53,18957920,$47.79,$48.00,$46.31
2020-04-21,$45.38,26863720,$45.88,$46.9014,$44.26
2020-04-22,$45.68,15815150,$46.05,$46.145,$45.50
2020-04-23,$45.07,17668170,$45.95,$46.10,$44.97
2020-04-24,$45.43,15177580,$45.50,$45.75,$45.1201
2020-04-27,$46.78,19175540,$46.00,$46.975,$45.71
2020-04-28,$46.74,17246700,$47.90,$48.00,$46.57
2020-04-29,$47.12,15780000,$47.27,$47.86,$46.88
2020-04-30,$45.89,20801090,$47.00,$47.00,$45.70
2020-05-01,$45.60,14290420,$45.62,$46.39,$45.21
2020-05-04,$45.14,22544160,$45.32,$45.48,$44.60
2020-05-05,$45.40,13370530,$45.36,$46.10,$45.15
2020-05-06,$44.75,11892890,$45.40,$45.63,$44.72
2020-05-07,$44.60,16474650,$45.15,$45.24,$44.50
2020-05-08,$46.11,13987840,$45.08,$46.22,$44.88
2020-05-11,$45.54,10874600,$45.69,$46.11,$45.52
2020-05-12,$44.82,13424420,$45.60,$45.85,$44.80
2020-05-13,$43.94,15854780,$44.71,$44.78,$43.5217
2020-05-14,$43.70,18000820,$43.38,$44.06,$43.23
2020-05-15,$43.26,31579430,$43.96,$44.69,$43.20
2020-05-18,$44.97,26122330,$44.82,$45.39,$44.13
2020-05-19,$44.54,17839920,$45.01,$45.33,$44.25
2020-05-20,$45.89,22295930,$45.20,$46.17,$45.02
2020-05-21,$45.17,13193530,$46.08,$46.09,$45.03
2020-05-22,$45.03,13008410,$45.22,$45.305,$44.65
2020-05-26,$46.09,22223100,$46.92,$46.93,$45.93
2020-05-27,$46.73,18447620,$47.00,$47.09,$46.165
2020-05-28,$47.09,16234420,$47.30,$47.46,$46.82
2020-05-29,$46.68,51129920,$46.68,$47.19,$46.14
2020-06-01,$46.99,17013040,$46.66,$47.23,$46.59
2020-06-02,$46.90,15255150,$47.16,$47.28,$46.56
2020-06-03,$47.90,15508290,$47.27,$48.115,$47.12
2020-06-04,$47.92,13604670,$47.94,$48.265,$47.38
2020-06-05,$49.09,20504800,$48.54,$49.49,$48.46
2020-06-08,$49.85,19896660,$49.54,$49.97,$49.47
2020-06-09,$49.00,16713660,$49.59,$49.59,$48.68
2020-06-10,$48.62,15716570,$49.16,$49.265,$48.57
2020-06-11,$45.54,26070380,$47.81,$47.92,$45.46
2020-06-12,$45.60,21822740,$46.21,$46.25,$45.01
2020-06-15,$46.30,15627070,$44.57,$46.45,$44.47
2020-06-16,$46.77,18808010,$47.56,$47.685,$46.19
2020-06-17,$46.58,12602790,$46.78,$47.06,$46.44
2020-06-18,$46.99,9380779,$46.30,$47.04,$46.07
2020-06-19,$46.02,30432090,$47.77,$47.79,$46.02
2020-06-22,$45.74,20876170,$46.03,$46.15,$45.38
2020-06-23,$45.64,14675300,$46.00,$46.29,$45.58
2020-06-24,$44.65,17631820,$45.37,$45.44,$44.50
2020-06-25,$44.93,13829650,$44.47,$44.98,$44.03
2020-06-26,$43.57,21955060,$44.92,$45.01,$43.51
2020-06-29,$44.36,17603890,$44.00,$44.57,$43.55
2020-06-30,$44.68,23679840,$44.25,$44.83,$44.04
2020-07-01,$44.82,14316520,$44.93,$45.53,$44.71
2020-07-02,$44.88,15111890,$45.29,$45.43,$44.80
2020-07-06,$45.23,15146040,$45.14,$45.27,$44.605
2020-07-07,$45.21,13043560,$45.00,$45.495,$44.80
2020-07-08,$45.07,13851200,$45.14,$45.18,$44.47
