Date,Close/Last,Volume,Open,High,Low
2020-01-02,$68.434,27285300,$67.4205,$68.434,$67.3245
2020-01-03,$68.076,23412580,$67.40,$68.6875,$67.3662
2020-01-06,$69.8905,46786860,$67.5815,$69.916,$67.55
2020-01-07,$69.7555,34529120,$70.023,$70.175,$69.5778
2020-01-08,$70.252,35325480,$69.741,$70.5925,$69.6315
2020-01-09,$70.9895,33228760,$71.0965,$71.434,$70.5105
2020-01-10,$71.448,26263560,$71.4735,$71.747,$70.9799
2020-01-13,$72.0015,30746340,$71.7625,$72.074,$71.2685
2020-01-14,$71.5295,26112720,$72.00,$72.1315,$71.3885
2020-01-15,$71.96,21550380,$71.651,$72.039,$71.583
2020-01-16,$72.508,26080800,$72.2725,$72.535,$72.00
2020-01-17,$73.976,52423500,$73.127,$74.0275,$72.8275
2020-01-21,$74.1125,48932020,$73.95,$74.4942,$73.5105
2020-01-22,$74.2085,28458920,$74.4865,$75.0291,$74.1331
2020-01-23,$74.2345,26651240,$74.3775,$74.675,$74.016
2020-01-24,$73.3085,29785600,$74.641,$74.71,$73.159
2020-01-27,$71.5865,34131320,$71.577,$71.829,$70.975
2020-01-28,$72.525,29731720,$72.087,$72.74,$71.518
2020-01-29,$72.835,21639280,$72.923,$73.207,$72.2693
2020-01-30,$72.7125,27109440,$71.905,$72.7625,$71.75
2020-01-31,$71.639,43821500,$73.393,$73.4835,$71.353
2020-02-03,$74.13,72175200,$73.0825,$74.315,$72.8305
2020-02-04,$72.2705,95879340,$72.7245,$73.3668,$71.1015
2020-02-05,$72.3025,36375860,$73.1805,$73.229,$71.4838
2020-02-06,$73.7985,37821580,$72.599,$74.078,$72.524
2020-02-07,$73.9555,28360980,$73.3693,$74.2622,$73.2705
2020-02-10,$75.433,38301440,$73.8615,$75.444,$73.76
2020-02-11,$75.503,34852940,$75.6635,$76.494,$75.2725
2020-02-12,$75.9315,31042720,$75.793,$76.015,$75.4335
2020-02-13,$75.6695,22913160,$75.50,$76.2973,$75.20
2020-02-14,$75.9365,23197140,$75.7265,$76.0025,$75.2775
2020-02-18,$75.972,25680220,$75.717,$76.5278,$75.5505
2020-02-19,$76.2435,22746760,$76.36,$76.537,$76.0488
2020-02-20,$75.8495,25967720,$75.9505,$76.3535,$75.2128
2020-02-21,$74.173,42536860,$75.229,$75.5473,$73.9245
2020-02-24,$70.993,49560780,$71.1525,$71.819,$70.3395
2020-02-25,$69.316,51579320,$71.55,$71.8423,$69.021
2020-02-26,$69.5235,49803560,$69.749,$70.6835,$68.8275
2020-02-27,$65.7475,62289520,$67.957,$68.47,$65.712
2020-02-28,$66.9625,80218000,$63.7155,$67.1225,$63.4105
2020-03-02,$69.316,55429260,$67.5695,$69.3735,$66.26
2020-03-03,$66.886,56602240,$69.884,$70.4095,$66.4621
2020-03-04,$69.08,47597120,$67.948,$69.139,$66.85
2020-03-05,$65.738,54379640,$67.2775,$67.6815,$65.082
2020-03-06,$64.787,64646300,$63.4975,$65.1375,$62.8605
2020-03-09,$60.7895,69251560,$60.248,$62.6365,$59.902
2020-03-10,$63.7585,54871320,$62.7195,$63.7925,$60.7255
2020-03-11,$60.545,54833880,$62.4135,$62.8465,$59.557
2020-03-12,$55.5775,94325860,$56.131,$59.4375,$55.4235
2020-03-13,$60.7135,79399460,$58.7495,$60.72,$55.6145
2020-03-16,$53.65,96519620,$54.4805,$57.2735,$53.354
2020-03-17,$55.903,83193720,$54.532,$56.30,$52.455
2020-03-18,$54.5595,93044760,$52.997,$55.2495,$51.85
2020-03-19,$55.5835,74064960,$54.411,$57.6305,$52.7775
2020-03-20,$53.4105,82877940,$56.545,$56.9239,$53.105
2020-03-23,$52.7065,83672580,$52.8185,$53.3455,$50.4435
2020-03-24,$56.5005,72468700,$55.199,$56.6665,$54.3215
2020-03-25,$55.081,90323240,$56.229,$57.3085,$54.1505
2020-03-26,$58.146,76688440,$55.736,$58.574,$54.6015
2020-03-27,$55.513,62793220,$56.3735,$57.5525,$55.2001
2020-03-30,$57.3155,58736540,$56.632,$57.55,$54.9245
2020-03-31,$58.0975,65279420,$57.4365,$58.67,$56.836
2020-04-01,$55.105,51970380,$56.20,$56.471,$54.6745
2020-04-02,$55.8515,56410680,$55.00,$56.1385,$54.6565
2020-04-03,$54.635,51373880,$55.7355,$55.9395,$53.754
2020-04-06,$59.1595,63319820,$56.65,$59.5377,$56.25
2020-04-07,$59.128,61619100,$60.8505,$61.0388,$58.8625
2020-04-08,$60.35,40334260,$60.155,$60.745,$59.1977
2020-04-09,$60.3285,54028460,$60.909,$61.0995,$59.6208
2020-04-13,$60.5205,38702560,$60.075,$60.726,$59.1166
2020-04-14,$63.2615,63357240,$61.9987,$63.7875,$61.4271
2020-04-15,$62.865,42236840,$62.3255,$63.7555,$61.70
2020-04-16,$62.8715,57895140,$63.357,$63.6679,$61.91
2020-04-17,$63.95,51056480,$64.085,$64.50,$63.30
2020-04-20,$63.0575,35291860,$63.4945,$63.841,$62.822
2020-04-21,$60.608,49648080,$62.1355,$62.50,$60.25
2020-04-22,$62.9205,46315840,$62.0555,$63.994,$61.86
2020-04-23,$63.5585,34202440,$63.287,$64.4075,$63.0265
2020-04-24,$63.83,37440080,$62.75,$63.8855,$62.20
2020-04-27,$63.543,44186660,$64.60,$64.705,$63.253
2020-04-28,$61.6295,80700140,$64.16,$64.238,$61.519
2020-04-29,$67.109,108357760,$67.25,$68.0075,$66.3365
2020-04-30,$67.335,55842480,$66.568,$67.50,$66.075
2020-05-01,$65.866,48871080,$66.2045,$67.5715,$65.483
2020-05-04,$66.145,30806940,$65.4065,$66.2235,$64.8005
2020-05-05,$67.451,39666360,$66.875,$68.5505,$66.7515
2020-05-06,$67.2715,31732580,$67.90,$68.4345,$67.2565
2020-05-07,$68.464,30716380,$68.0655,$68.80,$67.627
2020-05-08,$69.217,33329740,$69.091,$69.832,$68.6005
2020-05-11,$70.1795,32717120,$68.8395,$70.7765,$68.775
2020-05-12,$68.759,33917480,$70.411,$70.7165,$68.7255
2020-05-13,$67.4165,40368080,$68.808,$69.2665,$66.4005
2020-05-14,$67.843,36660340,$66.676,$67.8685,$66.165
2020-05-15,$68.653,41543980,$67.413,$68.729,$66.95
2020-05-18,$69.259,47128980,$68.079,$69.638,$67.71
2020-05-19,$68.72,31585000,$69.274,$69.6245,$68.688
2020-05-20,$70.458,38262660,$69.458,$70.6013,$69.371
2020-05-21,$70.3375,30899520,$70.5495,$70.823,$69.7195
2020-05-22,$70.662,28544120,$70.195,$70.85,$69.7975
2020-05-26,$71.0685,44589760,$72.098,$72.2555,$70.9698
2020-05-27,$71.014,31683700,$71.00,$71.2673,$69.73
2020-05-28,$70.912,35195740,$70.00,$72.223,$69.9538
