Date,Close/Last,Volume,Open,High,Low
2020-01-02,$141.09,10811020,$139.79,$141.10,$139.265
2020-01-03,$138.34,10387520,$137.50,$139.23,$137.08
2020-01-06,$138.23,10266520,$136.56,$138.27,$136.50
2020-01-07,$135.88,10576910,$137.28,$137.86,$135.82
2020-01-08,$136.94,9697731,$135.70,$137.58,$135.60
2020-01-09,$137.44,9470746,$138.05,$138.23,$137.04
2020-01-10,$136.07,10192030,$137.21,$137.25,$135.81
2020-01-13,$137.20,12381810,$136.19,$137.20,$135.755
2020-01-14,$138.80,24942960,$137.94,$140.76,$137.69
2020-01-15,$136.72,16293420,$137.85,$138.60,$136.15
2020-01-16,$137.25,10783750,$137.45,$137.90,$136.84
2020-01-17,$138.20,14697670,$137.54,$138.285,$137.32
2020-01-21,$136.84,8474247,$137.19,$138.07,$136.69
2020-01-22,$136.68,7549111,$137.24,$137.40,$136.38
2020-01-23,$136.54,9345683,$135.71,$136.7447,$134.72
2020-01-24,$133.15,15166390,$136.37,$136.43,$132.32
2020-01-27,$132.03,12860460,$130.27,$132.94,$129.71
2020-01-28,$134.43,13062790,$132.84,$134.97,$132.4784
2020-01-29,$134.23,9326173,$134.81,$135.54,$133.69
2020-01-30,$135.89,9048887,$132.69,$136.13,$132.69
2020-01-31,$132.36,12785240,$134.49,$134.83,$131.47
2020-02-03,$133.37,10021370,$132.66,$134.24,$132.66
2020-02-04,$135.29,9157126,$135.55,$136.60,$135.08
2020-02-05,$137.59,10150710,$136.57,$137.73,$136.01
2020-02-06,$137.61,8992592,$138.24,$138.29,$137.11
2020-02-07,$137.17,6379784,$136.73,$137.67,$136.30
2020-02-10,$137.74,5960700,$136.95,$137.851,$136.75
2020-02-11,$138.00,6578649,$138.26,$138.82,$137.78
2020-02-12,$138.00,7957984,$138.60,$139.285,$137.80
2020-02-13,$137.88,7447535,$137.75,$138.34,$136.40
2020-02-14,$137.46,6627891,$137.84,$138.19,$136.94
2020-02-18,$135.64,8997247,$137.34,$137.705,$135.05
2020-02-19,$137.49,7071399,$136.91,$138.39,$136.34
2020-02-20,$137.49,7422800,$137.17,$138.36,$136.53
2020-02-21,$135.81,9772770,$136.55,$136.92,$134.9225
2020-02-24,$132.16,13618430,$131.44,$133.20,$130.7988
2020-02-25,$126.26,20797190,$131.00,$132.23,$125.59
2020-02-26,$126.64,24836160,$126.93,$128.95,$126.34
2020-02-27,$121.37,23005470,$122.91,$125.62,$121.30
2020-02-28,$116.11,45942580,$117.52,$118.49,$112.66
2020-03-02,$121.52,27355450,$116.63,$121.58,$114.46
2020-03-03,$116.96,32547740,$120.97,$122.9469,$116.24
2020-03-04,$119.85,25795870,$118.33,$120.19,$114.695
2020-03-05,$113.97,25025630,$115.67,$116.43,$112.58
2020-03-06,$108.08,38159410,$106.26,$110.3232,$105.02
2020-03-09,$93.44,40352030,$96.57,$99.2302,$93.00
2020-03-10,$100.70,31102650,$99.00,$101.28,$94.58
2020-03-11,$95.96,38157810,$97.70,$100.05,$94.55
2020-03-12,$88.05,49725230,$89.59,$96.96,$86.32
2020-03-13,$103.91,38543330,$95.99,$103.99,$92.00
2020-03-16,$88.36,38589650,$85.20,$93.982,$84.55
2020-03-17,$93.76,35239840,$90.89,$97.44,$87.50
2020-03-18,$83.89,41525570,$87.67,$90.79,$80.36
2020-03-19,$85.30,32175060,$81.56,$88.11,$76.91
2020-03-20,$83.50,30150820,$86.30,$89.46,$82.48
2020-03-23,$79.03,32536580,$82.68,$83.75,$78.09
2020-03-24,$88.43,34363160,$84.90,$90.10,$82.90
2020-03-25,$91.73,38111700,$89.24,$95.15,$84.54
2020-03-26,$98.12,29840430,$94.08,$98.57,$93.5375
2020-03-27,$91.13,30041460,$93.19,$94.84,$90.55
2020-03-30,$93.50,21656930,$90.65,$94.09,$89.30
2020-03-31,$90.03,23379300,$92.05,$94.17,$89.34
2020-04-01,$84.36,28029570,$85.10,$86.56,$83.25
2020-04-02,$87.51,24017960,$83.51,$87.91,$82.96
2020-04-03,$84.05,21199450,$86.00,$87.48,$82.77
2020-04-06,$89.46,26820850,$88.99,$90.99,$87.70
2020-04-07,$90.64,22563810,$94.45,$94.50,$90.38
2020-04-08,$94.30,22903260,$92.10,$94.86,$90.55
2020-04-09,$102.76,42084670,$96.92,$104.39,$96.89
2020-04-13,$98.19,26911950,$103.11,$103.11,$97.30
2020-04-14,$95.50,46151260,$101.02,$102.00,$93.64
2020-04-15,$90.79,30118620,$91.15,$92.03,$90.13
2020-04-16,$87.33,32449620,$90.23,$90.57,$87.05
2020-04-17,$95.18,30191900,$92.00,$95.70,$90.96
2020-04-20,$91.71,23679430,$92.47,$94.71,$90.46
2020-04-21,$89.05,23035020,$88.62,$91.3839,$88.33
2020-04-22,$89.34,16706030,$90.69,$91.87,$89.18
2020-04-23,$89.39,16638770,$89.74,$91.28,$89.26
2020-04-24,$90.71,15815290,$90.64,$91.10,$88.49
2020-04-27,$94.62,22870210,$91.94,$95.63,$91.5449
2020-04-28,$95.29,20238900,$97.81,$98.3599,$95.03
2020-04-29,$97.86,20462560,$99.08,$99.45,$97.27
2020-04-30,$95.76,19127630,$95.60,$96.84,$94.55
2020-05-01,$93.25,18547740,$93.50,$93.74,$91.835
2020-05-04,$92.14,15725880,$92.02,$92.67,$90.80
2020-05-05,$92.00,18064120,$93.65,$94.21,$91.90
2020-05-06,$90.27,20978040,$92.16,$92.76,$89.9306
2020-05-07,$91.21,16771940,$91.34,$92.91,$90.58
2020-05-08,$92.70,20494920,$92.80,$94.08,$92.11
2020-05-11,$89.97,31907590,$91.11,$91.11,$89.33
2020-05-12,$87.03,27962920,$90.15,$90.79,$86.90
2020-05-13,$84.03,35451600,$86.38,$86.86,$83.40
2020-05-14,$87.52,35152450,$82.72,$88.11,$82.40
2020-05-15,$85.90,26099040,$86.85,$87.28,$85.30
2020-05-18,$90.45,30528730,$88.69,$91.15,$87.88
2020-05-19,$88.67,19597290,$90.05,$91.1987,$88.59
2020-05-20,$91.33,20552360,$90.71,$92.385,$90.37
2020-05-21,$90.17,14621410,$90.27,$91.76,$89.67
2020-05-22,$89.47,13557920,$90.01,$90.36,$88.72
2020-05-26,$95.82,41233950,$92.89,$97.50,$92.61
2020-05-27,$101.37,39402040,$102.07,$102.58,$98.80
2020-05-28,$99.86,24738540,$102.94,$102.95,$99.40
2020-05-29,$97.31,26538150,$98.66,$99.18,$96.775
2020-06-01,$98.60,15207500,$97.75,$99.5115,$97.38
2020-06-02,$98.93,21194960,$100.28,$100.42,$97.9276
2020-06-03,$104.27,25941090,$101.58,$104.92,$101.06
2020-06-04,$106.44,26784720,$103.82,$106.61,$102.79
2020-06-05,$111.23,42230990,$114.93,$115.77,$109.53
2020-06-08,$113.45,24881790,$113.41,$114.19,$111.94
2020-06-09,$110.54,17031140,$110.65,$111.63,$109.01
2020-06-10,$106.06,24913330,$110.46,$110.505,$105.85
2020-06-11,$97.21,36259220,$100.03,$101.58,$96.54
2020-06-12,$99.87,24856760,$100.71,$101.13,$97.33
2020-06-15,$101.25,22153640,$96.42,$101.43,$95.87
2020-06-16,$102.06,22193580,$105.37,$105.68,$99.31
2020-06-17,$99.48,15639830,$102.53,$102.54,$99.21
2020-06-18,$98.94,16591910,$98.67,$100.52,$98.13
2020-06-19,$97.81,40371170,$100.53,$100.60,$96.73
2020-06-22,$96.75,16216900,$97.25,$97.95,$96.54
2020-06-23,$97.93,15381380,$98.97,$99.97,$97.85
2020-06-24,$94.66,22919780,$96.75,$96.84,$94.31
2020-06-25,$97.96,25743640,$94.35,$98.21,$94.2622
2020-06-26,$92.59,41896320,$95.11,$95.37,$92.00
2020-06-29,$93.00,18499740,$93.40,$94.49,$92.18
2020-06-30,$94.06,19137010,$92.83,$94.6598,$92.57
2020-07-01,$93.26,18755730,$94.89,$95.705,$93.0301
2020-07-02,$92.66,27845620,$94.74,$94.96,$91.931
2020-07-06,$95.00,18625270,$94.43,$95.20,$93.48
2020-07-07,$92.32,25757200,$93.82,$94.10,$92.00
2020-07-08,$93.30,18762210,$92.29,$93.34,$91.80
2020-07-09,$91.28,25600760,$93.52,$94.12,$90.7764
2020-07-10,$96.27,28954230,$92.00,$96.84,$91.8706
2020-07-13,$97.65,32079210,$98.7303,$99.2663,$96.225
2020-07-14,$98.21,42731670,$98.37,$99.95,$96.64
2020-07-15,$99.73,22508410,$100.89,$101.29,$98.65
2020-07-16,$100.01,16886890,$98.78,$101.22,$98.55
2020-07-17,$98.16,16161550,$100.00,$100.08,$98.14
2020-07-20,$97.30,14458140,$97.43,$98.39,$97.26
2020-07-21,$99.41,17812300,$97.71,$100.05,$97.64
2020-07-22,$98.69,14271150,$99.65,$100.13,$97.53
2020-07-23,$98.98,12870180,$98.50,$99.35,$97.97
2020-07-24,$98.28,12744150,$99.60,$99.80,$97.94
2020-07-27,$96.90,11959060,$97.51,$97.63,$96.17
2020-07-28,$97.32,11754270,$96.50,$97.8854,$96.50
2020-07-29,$99.68,12743520,$97.07,$99.71,$97.00
2020-07-30,$97.02,14834790,$97.54,$97.74,$96.05
2020-07-31,$96.64,14539500,$96.48,$96.93,$95.25
2020-08-03,$96.10,12972560,$97.02,$97.57,$95.85
2020-08-04,$95.55,13366150,$95.91,$95.95,$95.03
2020-08-05,$97.21,15349690,$95.87,$98.47,$95.72
