Date,Close/Last,Volume,Open,High,Low
2020-01-02,$209.78,12090710,$206.75,$209.79,$206.27
2020-01-03,$208.67,11197420,$207.214,$210.40,$206.95
2020-01-06,$212.60,17073860,$206.70,$212.78,$206.52
2020-01-07,$213.06,15111860,$212.82,$214.58,$211.75
2020-01-08,$215.22,13492700,$213.00,$216.24,$212.6121
2020-01-09,$218.30,12679580,$217.54,$218.38,$216.278
2020-01-10,$218.06,12127430,$219.20,$219.88,$217.42
2020-01-13,$221.91,14494520,$219.597,$221.97,$219.21
2020-01-14,$219.06,13315360,$221.61,$222.38,$218.63
2020-01-15,$221.15,10036480,$220.61,$221.68,$220.14
2020-01-16,$221.77,10015290,$222.57,$222.63,$220.39
2020-01-17,$222.14,15905940,$222.03,$222.29,$220.53
2020-01-21,$221.44,14275780,$222.155,$222.37,$219.12
2020-01-22,$221.32,12212810,$222.31,$222.75,$221.28
2020-01-23,$219.76,11195000,$220.75,$221.485,$219.27
2020-01-24,$217.94,11905820,$220.80,$221.78,$216.11
2020-01-27,$214.87,13810660,$213.10,$216.06,$212.50
2020-01-28,$217.79,13413840,$216.14,$218.74,$213.52
2020-01-29,$223.23,33610010,$221.44,$224.20,$218.45
2020-01-30,$209.53,48775500,$206.53,$211.43,$204.75
2020-01-31,$201.91,31359920,$208.43,$208.69,$201.06
2020-02-03,$204.19,15510510,$203.44,$205.14,$202.50
2020-02-04,$209.83,19628890,$206.6165,$210.60,$205.2025
2020-02-05,$210.11,12538150,$212.51,$212.73,$208.71
2020-02-06,$210.85,10567530,$210.47,$211.19,$209.338
2020-02-07,$212.33,12242530,$210.30,$212.82,$209.93
2020-02-10,$213.06,11856350,$211.52,$213.80,$210.66
2020-02-11,$207.19,25030810,$210.19,$210.86,$206.5102
2020-02-12,$210.76,13813700,$207.85,$211.22,$207.40
2020-02-13,$213.14,15396630,$209.5235,$214.3259,$209.18
2020-02-14,$214.18,10741750,$214.00,$214.93,$212.65
2020-02-18,$217.80,15630030,$213.55,$217.975,$213.40
2020-02-19,$217.49,12135110,$217.99,$218.32,$216.11
2020-02-20,$214.58,13109210,$216.52,$218.765,$212.945
2020-02-21,$210.18,14098430,$213.48,$214.237,$208.8305
2020-02-24,$200.72,23080060,$201.80,$203.65,$198.17
2020-02-25,$196.77,21433490,$202.25,$203.50,$195.9537
2020-02-26,$197.20,16555210,$197.19,$201.21,$195.49
2020-02-27,$189.75,21682630,$191.82,$195.88,$189.50
2020-02-28,$192.47,32583490,$182.695,$192.74,$181.82
2020-03-02,$196.44,24948960,$194.03,$196.57,$188.85
2020-03-03,$185.89,27984100,$196.22,$197.24,$183.97
2020-03-04,$191.76,23062470,$189.17,$191.83,$186.39
2020-03-05,$185.17,19333430,$186.78,$188.99,$183.8901
2020-03-06,$181.09,24559550,$178.33,$183.78,$176.26
2020-03-09,$169.50,29949040,$169.60,$175.00,$165.19
2020-03-10,$178.19,24517790,$174.67,$178.29,$169.50
2020-03-11,$170.24,20397200,$174.01,$175.88,$167.66
2020-03-12,$154.47,43266340,$159.54,$166.60,$154.34
2020-03-13,$170.28,35028630,$163.53,$170.79,$157.60
2020-03-16,$146.01,39120420,$152.32,$159.13,$143.10
2020-03-17,$149.42,34255600,$150.74,$153.94,$140.00
2020-03-18,$146.96,37553140,$139.75,$148.18,$137.1006
2020-03-19,$153.13,39862310,$146.62,$159.9294,$144.80
2020-03-20,$149.73,32568400,$156.02,$159.27,$148.00
2020-03-23,$148.10,29830770,$149.66,$152.31,$142.25
2020-03-24,$160.98,30440370,$155.205,$161.31,$152.57
2020-03-25,$156.21,35184270,$158.92,$162.99,$153.06
2020-03-26,$163.34,26579020,$158.25,$164.00,$157.0201
2020-03-27,$156.79,24879870,$158.20,$160.09,$154.75
2020-03-30,$165.95,22515230,$159.18,$166.75,$158.06
