Date,Close/Last,Volume,Open,High,Low
2020-01-02,$160.62,22634550,$158.78,$160.73,$158.33
2020-01-03,$158.62,21121680,$158.32,$159.945,$158.06
2020-01-06,$159.03,20826700,$157.08,$159.10,$156.51
2020-01-07,$157.58,21881740,$159.32,$159.67,$157.32
2020-01-08,$160.09,27762030,$158.93,$160.80,$157.9491
2020-01-09,$162.09,21399950,$161.835,$162.215,$161.03
2020-01-10,$161.34,20733950,$162.824,$163.22,$161.18
2020-01-13,$163.28,21637010,$161.76,$163.31,$161.26
2020-01-14,$162.13,23500780,$163.39,$163.60,$161.72
2020-01-15,$163.18,21417870,$162.62,$163.94,$162.57
2020-01-16,$166.17,23865360,$164.35,$166.24,$164.03
2020-01-17,$167.10,34371660,$167.42,$167.4675,$165.43
2020-01-21,$166.50,29517190,$166.68,$168.19,$166.43
2020-01-22,$165.70,24138780,$167.40,$167.49,$165.68
2020-01-23,$166.72,19680770,$166.19,$166.80,$165.27
2020-01-24,$165.04,24918120,$167.51,$167.53,$164.45
2020-01-27,$162.28,32078070,$161.15,$163.375,$160.20
2020-01-28,$165.46,24899940,$163.78,$165.755,$163.073
2020-01-29,$168.04,35127770,$167.84,$168.75,$165.69
2020-01-30,$172.78,51597470,$174.05,$174.05,$170.79
2020-01-31,$170.23,36142690,$172.21,$172.40,$169.58
2020-02-03,$174.38,30149050,$170.43,$174.50,$170.40
2020-02-04,$180.12,36433340,$177.14,$180.64,$176.31
2020-02-05,$179.90,39186320,$184.03,$184.20,$178.4101
2020-02-06,$183.63,27751380,$180.97,$183.8199,$180.059
2020-02-07,$183.89,33529070,$182.845,$185.63,$182.48
2020-02-10,$188.70,35844270,$183.58,$188.84,$183.25
2020-02-11,$184.44,53159910,$190.65,$190.70,$183.50
2020-02-12,$184.71,47062920,$185.58,$185.85,$181.85
2020-02-13,$183.71,35295830,$183.08,$186.23,$182.872
2020-02-14,$185.35,23149520,$183.25,$185.41,$182.65
2020-02-18,$187.23,27853110,$185.605,$187.70,$185.50
2020-02-19,$187.28,29997470,$188.06,$188.18,$186.47
2020-02-20,$184.42,36862380,$186.95,$187.25,$181.10
2020-02-21,$178.59,48600390,$183.17,$183.50,$177.25
2020-02-24,$170.89,68311070,$167.77,$174.55,$163.23
2020-02-25,$168.07,68073300,$174.20,$174.84,$167.6462
2020-02-26,$170.17,56387150,$169.71,$173.26,$168.21
2020-02-27,$158.18,93174910,$163.32,$167.03,$157.98
2020-02-28,$162.01,97073560,$152.41,$163.71,$152.00
2020-03-02,$172.79,71030810,$165.31,$172.92,$162.31
2020-03-03,$164.51,71677020,$173.80,$175.00,$162.26
2020-03-04,$170.55,49814380,$168.485,$170.70,$165.62
2020-03-05,$166.27,47817250,$166.045,$170.87,$165.69
2020-03-06,$161.57,72821060,$162.61,$163.11,$156.00
2020-03-09,$150.62,70419270,$151.00,$157.75,$150.00
2020-03-10,$160.92,65354390,$158.16,$161.03,$152.58
2020-03-11,$153.63,56504300,$157.13,$157.70,$151.15
2020-03-12,$139.06,93226370,$145.30,$153.47,$138.58
2020-03-13,$158.83,92727450,$147.50,$161.91,$140.73
2020-03-16,$135.42,87905870,$140.00,$149.35,$135.00
2020-03-17,$146.57,81059820,$140.00,$147.4998,$135.00
2020-03-18,$140.40,81593170,$138.00,$146.00,$135.02
2020-03-19,$142.71,85922660,$142.77,$150.15,$139.00
2020-03-20,$137.35,84866220,$146.00,$147.10,$135.86
2020-03-23,$135.98,78975180,$137.01,$140.57,$132.52
2020-03-24,$148.34,82516730,$143.75,$149.60,$141.27
2020-03-25,$146.92,75638220,$148.91,$154.33,$144.44
2020-03-26,$156.11,64694430,$148.40,$156.66,$148.37
2020-03-27,$149.70,57042290,$151.75,$154.89,$149.20
2020-03-30,$160.23,63420330,$152.44,$160.60,$150.01
2020-03-31,$157.71,77927190,$159.40,$164.78,$156.56
2020-04-01,$152.11,57969930,$153.00,$157.75,$150.82
2020-04-02,$155.26,49630740,$151.86,$155.48,$150.36
2020-04-03,$153.83,41243280,$155.10,$157.38,$152.19
2020-04-06,$165.27,67111700,$160.32,$166.50,$157.58
2020-04-07,$163.49,62769040,$169.585,$170.00,$163.26
2020-04-08,$165.13,48318230,$165.67,$166.67,$163.50
2020-04-09,$165.14,51431780,$166.36,$167.37,$163.33
2020-04-13,$165.51,41905260,$164.35,$165.57,$162.30
2020-04-14,$173.70,52874340,$169.00,$173.75,$168.00
2020-04-15,$171.88,40940830,$171.20,$173.57,$169.24
2020-04-16,$177.04,50479610,$174.30,$177.28,$172.90
2020-04-17,$178.60,52765630,$179.50,$180.00,$175.87
2020-04-20,$175.06,36669560,$176.63,$178.75,$174.99
2020-04-21,$167.82,56203750,$173.50,$173.6699,$166.1102
2020-04-22,$173.52,34651600,$171.39,$174.00,$170.82
2020-04-23,$171.42,32790800,$174.11,$175.06,$170.91
2020-04-24,$174.55,34305320,$172.06,$174.56,$170.71
2020-04-27,$174.05,33194380,$176.59,$176.90,$173.30
2020-04-28,$169.81,34392690,$175.59,$175.67,$169.39
2020-04-29,$177.43,51286560,$173.22,$177.68,$171.88
2020-04-30,$179.21,53875860,$180.00,$180.40,$176.23
2020-05-01,$174.57,39370470,$175.80,$178.64,$174.01
2020-05-04,$178.84,30372860,$174.49,$179.00,$173.80
2020-05-05,$180.76,36839170,$180.62,$183.65,$179.90
2020-05-06,$182.54,32139300,$182.08,$184.20,$181.6306
2020-05-07,$183.60,28315990,$184.17,$184.55,$182.58
2020-05-08,$184.68,30912640,$184.98,$185.00,$183.36
2020-05-11,$186.74,30892660,$183.15,$187.51,$182.85
2020-05-12,$182.51,32038200,$186.80,$187.04,$182.30
2020-05-13,$179.75,44711490,$182.55,$184.05,$176.54
2020-05-14,$180.53,41873910,$177.54,$180.69,$175.68
2020-05-15,$183.16,46610380,$179.06,$187.06,$177.00
2020-05-18,$184.91,35306620,$185.75,$186.20,$183.96
2020-05-19,$183.63,26799120,$185.03,$186.60,$183.49
2020-05-20,$185.66,31261330,$184.81,$185.85,$183.94
2020-05-21,$183.43,29119510,$185.40,$186.67,$183.29
2020-05-22,$183.51,20826900,$183.19,$184.46,$182.54
2020-05-26,$181.57,36073610,$186.34,$186.50,$181.10
2020-05-27,$181.81,39517150,$180.20,$181.9877,$176.60
2020-05-28,$181.40,33831820,$180.74,$184.1474,$180.38
2020-05-29,$183.25,42146720,$182.73,$184.27,$180.41
2020-06-01,$182.83,22668820,$182.54,$183.00,$181.46
2020-06-02,$184.91,30794590,$184.25,$185.00,$181.35
2020-06-03,$185.36,27311020,$184.815,$185.94,$183.58
2020-06-04,$182.92,28761810,$184.30,$185.84,$182.30
2020-06-05,$187.20,39893640,$182.62,$187.73,$182.01
2020-06-08,$188.36,33211590,$185.94,$188.55,$184.44
2020-06-09,$189.80,29783920,$188.00,$190.70,$187.2605
2020-06-10,$196.84,43872330,$191.125,$198.52,$191.01
2020-06-11,$186.27,52854670,$193.13,$195.76,$186.07
2020-06-12,$187.74,43373590,$190.54,$191.72,$185.18
2020-06-15,$188.94,32770190,$184.58,$190.82,$184.01
2020-06-16,$193.57,42556660,$192.89,$195.58,$191.46
2020-06-17,$194.24,25687820,$195.03,$196.32,$193.69
2020-06-18,$196.32,23061650,$194.00,$196.49,$194.00
2020-06-19,$195.15,44441140,$198.59,$199.29,$194.37
2020-06-22,$200.57,32818930,$195.79,$200.76,$195.2301
2020-06-23,$201.91,30917450,$202.09,$203.95,$201.425
2020-06-24,$197.84,36740650,$201.604,$203.25,$196.56
2020-06-25,$200.34,27803930,$197.80,$200.61,$195.4675
2020-06-26,$196.33,54675780,$199.73,$199.89,$194.88
2020-06-29,$198.44,26701590,$195.78,$198.53,$193.55
2020-06-30,$203.51,34310280,$197.882,$204.40,$197.74
2020-07-01,$204.70,32061210,$203.14,$206.35,$201.77
2020-07-02,$206.26,29315760,$205.68,$208.02,$205.00
2020-07-06,$210.70,31897630,$208.834,$211.13,$208.09
2020-07-07,$208.25,33600730,$210.45,$214.67,$207.99
2020-07-08,$212.83,33600030,$210.07,$213.26,$208.69
