Date,Close/Last,Volume,Open,High,Low
2020-01-02,216.16,31014900,214.4,216.16,213.98
2020-01-03,214.18,27532660,213.29,215.47,213.28
2020-01-06,215.56,21726990,212.49,215.59,212.24
2020-01-07,215.53,23120990,215.64,216.14,214.85
2020-01-08,217.15,26464210,215.47,218.14,215.16
2020-01-09,218.99,23641290,218.91,219.41,217.7125
2020-01-10,218.43,21914630,219.76,219.87,218.04
2020-01-13,220.95,22846100,219.31,220.98,218.98
2020-01-14,220.08,24573340,220.75,221.21,219.74
2020-01-15,220.17,25742080,220.18,221.2,219.45
2020-01-16,222.28,18804960,221.24,222.32,220.8
2020-01-17,223.38,24325170,223.24,223.56,222.1221
2020-01-21,223.28,21146260,222.73,223.84,222.66
2020-01-22,223.87,20736400,224.38,225.15,223.59
2020-01-23,224.59,26496110,223.71,224.69,222.7
2020-01-24,222.7,37436480,225.62,225.88,221.6701
2020-01-27,218.1,42264420,217.72,219.2845,217.18
2020-01-28,221.45,26731880,219.6,221.96,219.06
2020-01-29,221.81,29063130,222.66,222.93,220.83
2020-01-30,222.6,39568090,220.37,222.7,219.6891
2020-01-31,219.07,52015830,223.5,223.56,218.285
2020-02-03,222.38,25468310,220.14,222.885,219.99
2020-02-04,227.47,30691210,225.39,227.86,224.6523
2020-02-05,228.22,38534820,230.22,230.25,226.85
2020-02-06,230.19,22467080,228.77,230.25,227.98
2020-02-07,229.2,25884930,229.16,230.44,228.54
2020-02-10,231.97,21478930,228.43,231.98,228.38
2020-02-11,232.01,30197980,233.21,234.02,231.3999
2020-02-12,234.27,24471280,233.34,234.38,232.8
2020-02-13,233.97,22773160,232.62,234.93,232.36
2020-02-14,234.64,23438530,234.28,234.86,233.5501
2020-02-18,234.73,24521240,233.47,235.17,233.25
2020-02-19,236.98,22230460,236.07,237.47,235.85
2020-02-20,234.78,42604020,236.46,236.95,231.88
2020-02-21,230.27,66058610,233.64,234.01,229.3211
2020-02-24,221.39,84522550,221.84,224.25,220.26
2020-02-25,215.37,97742980,223.19,223.9879,214.74
2020-02-26,216.48,80400050,216.67,220.28,214.9
2020-02-27,205.64,121822600,211.05,216.4235,205.5
2020-02-28,205.8,149247100,198.92,207.17,198.17
2020-03-02,216.42,112933900,208.88,216.57,205.94
2020-03-03,209.48,131953500,217.11,219.61,207.62
2020-03-04,218.22,73086210,213.32,218.33,211.37
2020-03-05,211.59,78705460,212.69,216.36,210.1
2020-03-06,208.02,89828390,204.67,209.15,202.91
2020-03-09,193.57,116424000,193.48,201.16,192.11
2020-03-10,204.11,100599200,201.11,204.3,193.6802
2020-03-11,195.22,89168780,199.35,200.75,192.73
2020-03-12,177.32,137820700,182.09,190.78,176.94
2020-03-13,192.34,134882000,187.07,194.48,178.13
2020-03-16,169.3,92054390,174.15,184.68,169.16
2020-03-17,182.14,121257100,175.47,184.39,169.78
2020-03-18,176.6,114156300,171.605,179.22,166.8
2020-03-19,177.66,120896500,175.69,183.49,171.63
2020-03-20,170.7,118983900,181.74,182.87,170.1
2020-03-23,170.46,124639600,170.92,174.21,164.93
2020-03-24,183.66,94881790,179.91,183.83,177.95
2020-03-25,182.3,88754910,184.42,189.51,179.98
2020-03-26,191.9,79887560,183.87,192.72,183.61
2020-03-27,185.3,58844980,186.93,190.5149,184.66
2020-03-30,192.04,49356940,187.1,192.49,186.3406
2020-03-31,190.4,62659270,191.53,195.25,189.2
2020-04-01,182.31,53715380,184.81,187.66,180.86
2020-04-02,186.01,56465350,181.59,190.1,180.97
2020-04-03,183.37,47487620,185.5,187.0716,181.29
2020-04-06,196.48,64763520,190.38,197.65,189.19
2020-04-07,196.4,69904480,202.14,202.66,196.0
2020-04-08,200.57,45940440,198.0835,201.17,196.1733
2020-04-09,200.86,68323930,202.27,203.22,199.0281
2020-04-13,203.03,42853950,199.92,203.42,198.75
2020-04-14,211.86,63959560,207.17,212.5,206.42
2020-04-15,209.43,47035950,208.48,211.8338,207.12
2020-04-16,213.25,64657360,211.78,214.369,209.69
2020-04-17,215.29,62863220,215.96,216.51,212.0801
2020-04-20,212.74,38249130,213.27,215.88,212.57
2020-04-21,204.89,72932770,210.63,211.16,203.63
2020-04-22,210.97,40188770,209.14,212.35,208.33
2020-04-23,210.52,43278540,211.8,214.435,210.095
2020-04-24,213.84,34303370,210.94,214.3,209.5
2020-04-27,215.56,36451700,216.18,216.63,214.5
2020-04-28,211.5,46862820,217.27,217.32,211.21
2020-04-29,219.0,48716410,216.21,219.97,215.14
2020-04-30,218.91,43359480,220.01,220.04,217.35
2020-05-01,212.74,48794970,214.54,216.67,211.68
2020-05-04,215.22,32841020,211.61,215.45,211.12
2020-05-05,217.66,37783080,217.4,220.14,216.85
