Date,Close/Last,Volume,Open,High,Low
2024-01-30,49.8356,5041,49.9999,50.03,49.78
2024-01-31,49.1389,19184,49.47,49.47,49.1389
2024-02-01,49.5436,11816,49.39,49.61,49.278
2024-02-02,50.1578,53422,53.7,53.7,49.69
2024-02-05,50.1405,25593,50.37,50.37,49.95
2024-02-06,50.01,20512,50.65,50.65,49.8578
2024-02-07,50.6,44953,50.54,50.6,50.242
2024-02-08,50.5222,7809,50.69,50.69,50.48
2024-02-09,50.96,21110,50.93,50.96,50.61
2024-02-12,51.06,15457,51.13,51.13,50.7001
2024-02-13,51.13,40546,50.31,51.13,49.975
2024-02-14,50.64,29717,50.73,50.73,50.3
2024-02-15,50.67,8648,50.77,50.77,50.55
2024-02-16,50.42,18696,50.84,50.84,50.42
2024-02-20,50.12,17716,50.32,50.32,49.8601
2024-02-21,49.4,16057,49.48,49.48,49.18
2024-02-22,50.55,21675,50.47,50.57,50.2
2024-02-23,50.54,30899,50.76,50.76,50.45
2024-02-26,50.51,53481,50.6,50.68,50.4879
2024-02-27,50.62,20951,50.62,50.65,50.43
2024-02-28,50.42,28817,50.53,50.53,50.34
2024-02-29,50.8,21024,50.67,50.81,50.52
2024-03-01,51.28,27147,50.8,51.32,50.8
2024-03-04,51.16,56588,51.33,51.4,51.15
2024-03-05,50.49,41288,51.01,51.05,50.3315
2024-03-06,50.76,29063,50.98,50.9999,50.66
2024-03-07,51.3,27276,51.04,51.37,50.9772
2024-03-08,50.8,28262,52.06,52.06,50.7
2024-03-11,50.63,75659,50.73,50.95,50.44
2024-03-12,51.24,47527,50.92,51.2583,50.63
2024-03-13,50.97,59844,51.2,51.2,50.8502
2024-03-14,50.82,35385,51.11,51.11,50.63
2024-03-15,50.4,90374,50.67,50.96,50.25
2024-03-18,50.84,204531,51.08,51.13,50.8
2024-03-19,50.95,150300,50.67,50.96,50.4186
2024-03-20,50.75,102877,50.47,50.8,50.29
2024-03-21,51.01,77043,51.26,51.26,50.96
2024-03-22,51.07,104304,50.98,51.14,50.9
2024-03-25,50.98,179518,51.05,51.065,50.77
2024-03-26,50.92,102530,51.18,51.18,50.8427
2024-03-27,51.03,131361,51.14,51.16,50.76
2024-03-28,51.01,97564,51.08,51.09,50.945
2024-04-01,51.09,98938,51.1,51.2863,50.915
2024-04-02,50.77,143851,50.72,50.775,50.48
2024-04-03,50.84,79370,50.61,51.02,50.61
2024-04-04,50.24,130884,51.22,51.29,50.22
2024-04-05,50.72,79618,50.39,50.91,50.3
2024-04-08,50.76,88504,50.84,50.92,50.6169
2024-04-09,50.86,140121,51.0,51.01,50.47
2024-04-10,50.59,116954,50.5,50.64,50.39
2024-04-11,51.27,144364,50.79,51.3,50.5326
2024-04-12,50.53,205850,50.9,50.95,50.41
2024-04-15,49.88,140372,50.98,50.98,49.7799
2024-04-16,49.89,78494,49.86,50.13,49.73
2024-04-17,49.36,113018,50.11,50.1299,49.24
2024-04-18,49.08,125822,49.43,49.58,49.0
2024-04-19,48.1,177611,48.95,49.0,47.935
2024-04-22,48.55,162482,48.45,48.83,48.01
2024-04-23,49.28,199688,48.85,49.4,48.8
2024-04-24,48.88,155484,49.05,49.19,48.61
