Date,Close/Last,Volume,Open,High,Low
2020-01-02,39.15,817611,39.63,39.68,38.99
2020-01-03,38.98,822118,38.88,39.04,38.85
2020-01-06,39.11,611972,38.81,39.135,38.8
2020-01-07,39.03,433294,39.09,39.12,38.86
2020-01-08,39.08,789567,39.09,39.21,38.8969
2020-01-09,39.13,620545,39.15,39.15,38.92
2020-01-10,39.06,696761,39.2,39.21,39.01
2020-01-13,39.33,485679,39.14,39.33,39.01
2020-01-14,39.44,869383,39.32,39.47,39.235
2020-01-15,39.5,790984,39.44,39.68,39.41
2020-01-16,39.9,630927,39.69,39.9,39.68
2020-01-17,39.89,540853,39.97,39.98,39.82
2020-01-21,39.72,614074,39.78,39.795,39.54
2020-01-22,39.66,318042,39.84,39.85,39.6314
2020-01-23,39.77,376551,39.59,39.8059,39.31
2020-01-24,39.34,442444,39.81,39.81,39.13
2020-01-27,38.72,889413,38.88,38.9055,38.68
2020-01-28,39.03,371009,38.88,39.1401,38.7867
2020-01-29,38.86,447832,39.18,39.24,38.85
2020-01-30,38.86,568295,38.6,38.8851,38.3736
2020-01-31,38.13,1129022,38.72,38.72,37.98
2020-02-03,38.23,850201,38.36,38.59,38.2
2020-02-04,38.72,459117,38.74,38.91,38.68
2020-02-05,39.51,716628,39.05,39.54,39.0
2020-02-06,39.4,490935,39.71,39.76,39.4
2020-02-07,39.1,645131,39.25,39.27,39.02
2020-02-10,39.26,517333,39.1,39.26,38.96
2020-02-11,39.47,574069,39.44,39.64,39.405
2020-02-12,39.76,328668,39.72,39.8879,39.66
2020-02-13,39.56,569457,39.6,39.6,39.37
2020-02-14,39.52,450605,39.56,39.58,39.35
2020-02-18,39.4,520892,39.51,39.54,39.1282
2020-02-19,39.36,438228,39.53,39.53,39.29
2020-02-20,39.67,595913,39.31,39.72,39.27
2020-02-21,39.42,540844,39.52,39.52,39.27
2020-02-24,38.21,1998093,38.54,38.55,38.07
2020-02-25,36.75,2313571,38.37,38.38,36.65
2020-02-26,36.2,2531740,36.94,37.15,36.18
2020-02-27,34.63,3808477,35.63,36.09,34.613
2020-02-28,34.18,4202597,33.78,34.2899,33.11
2020-03-02,35.48,2887816,34.59,35.48,33.76
2020-03-03,34.59,3454562,35.52,36.14,34.21
2020-03-04,35.67,1309236,35.12,35.67,34.76
2020-03-05,34.31,1885926,34.88,34.96,34.0
2020-03-06,33.43,2552710,33.37,33.83,32.73
2020-03-09,29.91,5122583,31.03,32.0,29.6101
2020-03-10,30.97,2278218,31.01,31.06,29.13
2020-03-11,29.04,2888805,30.05,30.14,28.71
2020-03-12,25.51,4910773,27.11,27.23,25.26
2020-03-13,27.92,3639507,27.29,27.9695,25.57
2020-03-16,24.03,3553862,25.25,26.054,23.98
2020-03-17,25.57,2694767,24.66,25.69,23.35
2020-03-18,23.49,3743598,24.1,24.49,22.33
2020-03-19,23.62,2290865,23.48,24.4,22.3801
2020-03-20,22.33,2415996,23.51,23.8977,22.23
2020-03-23,21.02,2914902,22.18,22.18,20.79
2020-03-24,23.4,3574427,22.44,23.46,22.31
2020-03-25,24.22,3868016,23.88,25.52,22.98
2020-03-26,25.7,4034754,24.55,25.9079,24.37
2020-03-27,24.85,2298920,24.76,25.67,24.35
2020-03-30,25.16,2068688,25.0,25.2438,24.3
2020-03-31,24.6,1485142,25.1,25.22,24.31
2020-04-01,23.04,3130860,23.66,23.66,22.78
2020-04-02,23.27,1513582,22.94,23.96,22.74
2020-04-03,22.98,1118733,23.25,23.58,22.68
2020-04-06,24.67,1371076,24.02,24.85,23.93
2020-04-07,25.22,1665869,25.85,26.3,25.2
2020-04-08,26.65,1324841,25.63,26.78,25.44
2020-04-09,27.74,2187607,27.29,28.3,27.202
2020-04-13,27.0,1874107,27.81,27.85,26.61
2020-04-14,27.47,1289731,27.6,27.805,27.1077
2020-04-15,26.11,1808704,26.59,26.59,25.77
2020-04-16,25.62,1017427,26.16,26.17,25.4666
2020-04-17,26.92,1145373,26.53,26.99,26.36
2020-04-20,26.15,1469494,26.37,26.8,26.0
2020-04-21,25.42,1010147,25.49,25.88,25.24
2020-04-22,25.64,992413,25.98,26.02,25.48
2020-04-23,25.75,846485,25.78,26.28,25.64
2020-04-24,26.06,988650,25.99,26.23,25.6
2020-04-27,26.96,1058101,26.29,27.09,26.1364
2020-04-28,27.7,2283329,27.56,27.9764,27.28
2020-04-29,28.66,1468578,28.43,28.95,28.3099
2020-04-30,27.84,1547427,28.44,28.44,27.676
2020-05-01,26.62,1396844,27.22,27.22,26.4982
2020-05-04,26.62,1284870,26.38,26.635,26.07
2020-05-05,26.5,1088188,26.97,27.11,26.48
2020-05-06,25.9,1009458,26.67,26.735,25.89
2020-05-07,26.24,1057840,26.31,26.74,26.15
2020-05-08,27.15,882749,26.7,27.195,26.55
2020-05-11,26.73,1113078,26.98,27.0,26.52
2020-05-12,26.07,1339902,26.91,27.0,26.05
2020-05-13,25.2,2914137,26.0,26.007,25.0
2020-05-14,25.56,1971774,24.86,25.58,24.31
2020-05-15,25.46,1647459,25.43,25.63,25.1
2020-05-18,26.96,2418298,26.41,27.12,26.41
2020-05-19,26.45,2027405,26.88,26.895,26.41
2020-05-20,26.89,1492186,26.85,27.025,26.76
2020-05-21,26.8,949142,26.87,27.04,26.6
2020-05-22,26.88,892906,26.8,26.88,26.51
2020-05-26,27.95,2356167,27.68,28.14,27.68
2020-05-27,28.68,2739540,28.58,28.79,28.0757
2020-05-28,28.31,1717280,28.98,28.98,28.2009
2020-05-29,28.08,3272346,28.19,28.21,27.63
2020-06-01,28.4,831597,28.01,28.53,27.92
2020-06-02,28.77,988974,28.59,28.8,28.51
2020-06-03,29.7,1528332,29.16,29.81,29.16
2020-06-04,30.03,1193823,29.58,30.03,29.32
2020-06-05,31.1,2868887,31.14,31.5301,31.01
2020-06-08,32.18,2141379,31.55,32.196,31.5
2020-06-09,31.34,2043581,31.63,31.65,31.11
2020-06-10,30.38,1622576,31.33,31.35,30.38
2020-06-11,28.16,5260690,29.02,29.3292,28.06
2020-06-12,28.88,3089988,29.18,29.2399,28.23
2020-06-15,29.18,1912784,28.06,29.38,27.86
2020-06-16,29.78,2377214,30.28,30.355,29.2
2020-06-17,29.29,1367434,29.89,29.89,29.25
2020-06-18,29.31,1419055,29.06,29.46,28.8901
2020-06-19,28.47,1748753,29.44,29.44,28.395
2020-06-22,28.44,1726047,28.41,28.52,28.1
2020-06-23,28.36,1199138,28.76,28.81,28.34
2020-06-24,27.37,2085199,28.06,28.06,27.07
2020-06-25,27.62,1634960,27.26,27.63,27.092
2020-06-26,26.9,2135583,27.45,27.46,26.78
2020-06-29,27.52,1169997,27.16,27.53,26.98
2020-06-30,27.85,1111028,27.46,28.0,27.36
2020-07-01,27.77,1238248,27.98,28.14,27.68
2020-07-02,27.9,1157872,28.23,28.43,27.85
2020-07-06,28.05,983755,28.4,28.4638,27.88
2020-07-07,27.55,1145335,27.81,27.81,27.505
2020-07-08,27.55,1108586,27.59,27.7,27.29
2020-07-09,26.79,1771348,27.5,27.5,26.62
2020-07-10,27.52,2111563,26.82,27.54,26.82
2020-07-13,27.54,1883462,27.74,27.91,27.41
2020-07-14,27.91,1701924,27.51,27.96,27.37
2020-07-15,28.47,1565870,28.41,28.54,28.18
2020-07-16,28.47,1346717,28.34,28.705,28.2268
2020-07-17,28.45,891413,28.56,28.66,28.33
2020-07-20,27.98,1132989,28.4,28.44,27.98
2020-07-21,28.42,1207721,28.24,28.6,28.2
2020-07-22,28.51,1176923,28.31,28.54,28.1023
2020-07-23,28.57,1741125,28.51,28.7203,28.3799
2020-07-24,28.38,2188508,28.61,28.74,28.3
2020-07-27,28.41,1439137,28.4,28.43,28.11
2020-07-28,28.49,1046511,28.38,28.65,28.35
2020-07-29,28.83,1373023,28.55,28.855,28.3726
2020-07-30,28.34,1337142,28.5,28.5,28.11
2020-07-31,28.03,1416517,28.27,28.27,27.73
2020-08-03,27.89,2198187,28.13,28.13,27.7
2020-08-04,28.06,1585466,27.8,28.11,27.79
2020-08-05,28.19,1518567,28.26,28.39,28.0907
2020-08-06,28.15,1380788,28.11,28.38,28.03
2020-08-07,28.67,1671309,28.05,28.67,27.899
2020-08-10,29.23,1834939,28.77,29.2884,28.74
2020-08-11,29.3,2542444,29.7,30.05,29.21
2020-08-12,29.31,1552052,29.66,29.73,29.06
2020-08-13,28.86,1357026,29.19,29.225,28.77
2020-08-14,29.08,973530,28.81,29.22,28.65
2020-08-17,28.92,938724,29.11,29.1261,28.7836
2020-08-18,28.58,898320,28.9,28.9,28.54
2020-08-19,28.45,1029594,28.64,28.83,28.41
2020-08-20,28.21,986416,28.27,28.41,28.1499
2020-08-21,28.12,865454,28.18,28.23,27.965
2020-08-24,28.89,1109612,28.28,28.89,28.09
2020-08-25,28.74,918277,29.07,29.14,28.53
2020-08-26,28.4,1012692,28.73,28.73,28.35
2020-08-27,28.75,1044756,28.5,28.88,28.5
2020-08-28,28.99,783867,28.86,28.99,28.63
2020-08-31,28.48,1278889,29.0,29.0,28.47
2020-09-01,28.46,1252412,28.44,28.55,28.14
2020-09-02,29.04,1253404,28.54,29.1,28.4
2020-09-03,28.79,3411382,29.11,29.67,28.58
2020-09-04,28.99,3146848,29.11,29.315,28.55
2020-09-08,28.43,2049165,28.86,28.86,28.31
2020-09-09,28.51,1489584,28.68,28.73,28.4
2020-09-10,28.03,1748602,28.61,28.72,28.015
2020-09-11,28.26,1347113,28.18,28.319,27.9763
2020-09-14,28.93,1597701,28.48,29.03,28.45
2020-09-15,28.8,886893,29.06,29.165,28.74
2020-09-16,29.23,1316833,28.92,29.58,28.8235
2020-09-17,29.1,1661021,28.9,29.19,28.63
2020-09-18,28.37,1151843,28.83,28.83,28.31
2020-09-21,27.35,3548297,27.87,27.87,27.051
2020-09-22,27.27,1161657,27.35,27.68,27.16
2020-09-23,26.58,1572031,27.33,27.56,26.56
2020-09-24,26.65,1305485,26.58,26.995,26.15
2020-09-25,26.96,820257,26.56,27.02,26.37
2020-09-28,27.59,2015545,27.32,27.76,27.32
2020-09-29,27.23,769322,27.59,27.59,26.9818
2020-09-30,27.4,824101,27.35,27.7,27.17
2020-10-01,27.43,1132800,27.5,27.58,27.13
2020-10-02,27.93,1054393,27.06,28.0425,26.98
2020-10-05,28.44,713586,28.15,28.47,28.07
2020-10-06,28.3,1099504,28.59,29.06,28.22
2020-10-07,28.78,641111,28.56,28.89,28.52
2020-10-08,29.34,901847,28.94,29.34,28.94
2020-10-09,29.1,850309,29.5,29.5849,29.03
2020-10-12,29.21,780809,29.18,29.27,28.9801
2020-10-13,28.7,739035,29.12,29.12,28.56
2020-10-14,28.68,1175393,28.75,28.96,28.66
2020-10-15,28.89,840681,28.41,28.91,28.32
2020-10-16,28.72,707428,28.97,28.97,28.57
2020-10-19,28.34,851479,28.82,28.87,28.29
2020-10-20,28.56,749946,28.56,28.85,28.49
2020-10-21,28.42,704400,28.56,28.59,28.33
2020-10-22,29.12,584476,28.48,29.16,28.42
2020-10-23,29.24,821956,29.25,29.42,28.951
2020-10-26,28.56,1016697,28.94,28.94,28.25
2020-10-27,27.9,847023,28.59,28.59,27.89
2020-10-28,27.0,1397230,27.41,27.56,26.96
2020-10-29,27.49,1197651,26.99,27.61,26.65
2020-10-30,27.6,1094042,27.36,27.6,27.09
2020-11-02,28.41,948276,27.89,28.48,27.6469
2020-11-03,29.02,917266,28.75,29.17,28.73
2020-11-04,28.21,1093530,28.93,28.93,28.16
2020-11-05,28.8,1028921,28.5,28.99,28.39
2020-11-06,28.19,769128,28.84,29.03,28.06
2020-11-09,31.06,4224750,29.77,31.585,29.77
2020-11-10,31.55,1533674,31.1,31.6192,31.05
2020-11-11,31.2,983395,31.72,31.72,30.985
2020-11-12,30.3,1000559,30.87,30.87,29.93
2020-11-13,31.28,1044137,30.5,31.37,30.465
2020-11-16,32.27,1352743,32.08,32.34,31.78
2020-11-17,32.24,713758,31.98,32.34,31.62
2020-11-18,31.74,781634,32.37,32.57,31.739
2020-11-19,31.84,762802,31.69,31.855,31.3
2020-11-20,31.72,746216,31.77,31.84,31.54
2020-11-23,32.5,888598,32.02,32.64,32.0
2020-11-24,33.61,1221295,33.0,33.67,33.0
2020-11-25,33.2,918607,33.47,33.5,32.98
2020-11-27,32.94,619720,33.25,33.25,32.8433
2020-11-30,32.18,1030198,32.83,32.83,32.11
2020-12-01,32.65,1014857,32.75,32.989,32.59
2020-12-02,33.12,871662,32.6,33.16,32.47
2020-12-03,33.42,1174381,33.12,33.6011,33.04
2020-12-04,34.09,675080,33.62,34.09,33.62
2020-12-07,33.75,1069126,33.95,33.959,33.56
2020-12-08,33.82,681617,33.51,33.91,33.45
2020-12-09,33.85,694556,33.96,34.159,33.621
2020-12-10,33.85,502665,33.7,33.9,33.59
2020-12-11,33.6,848741,33.61,33.715,33.315
2020-12-14,33.08,1394136,34.0,34.0,33.05
2020-12-15,33.69,706290,33.36,33.7,33.08
2020-12-16,33.57,640823,33.76,33.79,33.48
2020-12-17,33.58,589724,33.72,33.722,33.36
2020-12-18,32.63,1136261,33.01,33.0515,32.41
2020-12-21,32.32,1157850,32.18,32.42,31.85
2020-12-22,32.15,803047,32.38,32.43,32.135
2020-12-23,32.56,881366,32.3201,32.76,32.3201
2020-12-24,32.59,510691,32.6201,32.64,32.2663
2020-12-28,32.67,872770,32.82,33.08,32.6
2020-12-29,32.4,784022,32.8,32.835,32.29
2020-12-30,32.71,725289,32.49,32.83,32.45
2020-12-31,32.94,675176,32.68,32.99,32.48
2021-01-04,32.4,1262192,33.12,33.1645,32.1733
2021-01-05,32.71,748312,32.4,32.99,32.38
2021-01-06,33.97,1738887,33.05,34.215,33.05
2021-01-07,34.1,808359,34.23,34.38,34.055
2021-01-08,33.97,833296,34.2,34.2,33.61
2021-01-11,34.05,867956,33.67,34.1,33.5016
2021-01-12,34.52,832735,34.09,34.56,34.06
2021-01-13,34.58,777369,34.49,34.68,34.34
2021-01-14,35.1,1144737,34.74,35.305,34.614
2021-01-15,34.78,909121,34.77,34.92,34.3422
2021-01-19,34.79,1100715,35.0,35.0,34.58
2021-01-20,34.85,762795,34.83,34.905,34.61
2021-01-21,34.56,632512,34.9,34.9,34.48
2021-01-22,34.45,704466,34.21,34.505,34.05
2021-01-25,34.55,1022216,34.21,34.66,34.0793
2021-01-26,34.67,779667,34.68,34.87,34.35
2021-01-27,34.29,2034575,34.25,34.67,34.18
2021-01-28,34.31,1568901,34.38,34.76,34.31
2021-01-29,33.59,1451585,34.21,34.4487,33.48
2021-02-01,33.81,990075,33.89,33.8908,33.3701
2021-02-02,34.03,820626,34.09,34.345,33.87
2021-02-03,34.45,847912,34.09,34.53,33.92
2021-02-04,34.96,881984,34.5,34.99,34.43
2021-02-05,35.14,866059,35.17,35.3,35.03
2021-02-08,35.6,874978,35.28,35.61,35.26
2021-02-09,35.71,983896,35.6,35.785,35.49
2021-02-10,35.92,1680194,35.89,36.045,35.6884
2021-02-11,35.81,771238,35.99,36.02,35.48
2021-02-12,35.99,687438,35.74,36.0,35.67
2021-02-16,36.18,1005694,36.18,36.34,36.1
2021-02-17,36.34,855316,36.2,36.361,35.99
2021-02-18,36.1,718553,36.17,36.3,36.0063
2021-02-19,36.52,1074968,36.24,36.64,36.21
2021-02-22,37.19,1079157,36.5,37.34,36.5
2021-02-23,37.51,1418491,37.36,37.57,36.94
2021-02-24,38.29,1301808,37.58,38.35,37.54
2021-02-25,37.42,2064058,38.42,38.44,37.26
2021-02-26,36.82,2501248,37.39,37.47,36.59
2021-03-01,37.63,1513454,37.37,37.935,37.36
2021-03-02,37.51,1085869,37.66,37.77,37.43
2021-03-03,37.92,1792074,37.58,38.35,37.58
2021-03-04,37.57,2706400,37.93,38.2,36.94
2021-03-05,38.42,2235203,38.04,38.54,37.25
2021-03-08,39.18,2135690,38.67,39.47,38.56
2021-03-09,38.73,1851022,39.1,39.32,38.63
2021-03-10,39.44,1335385,38.81,39.5364,38.79
2021-03-11,39.38,1287952,39.41,39.8,39.22
2021-03-12,39.86,1157038,39.7,39.86,39.61
2021-03-15,39.92,1778216,39.862,39.97,39.47
2021-03-16,39.37,1865069,39.75,39.75,39.161
2021-03-17,39.62,1184519,39.5,39.65,39.198
2021-03-18,39.24,1694159,39.69,39.96,39.14
2021-03-19,38.36,2212288,38.59,38.795,38.09
2021-03-22,38.15,1541436,38.32,38.35,37.97
2021-03-23,37.48,1854272,37.85,38.07,37.32
2021-03-24,37.57,1878218,37.66,38.18,37.5598
2021-03-25,38.3,2161959,37.44,38.38,37.075
2021-03-26,38.9,2211287,38.63,38.93,38.37
2021-03-29,38.52,1342868,38.65,38.82,38.23
2021-03-30,38.73,1170382,38.55,38.82,38.44
2021-03-31,38.5,1301927,38.72,38.77,38.42
2021-04-01,38.96,1467589,38.59,38.96,38.33
2021-04-05,38.98,1808622,39.28,39.28,38.82
2021-04-06,39.03,1000623,39.0,39.155,38.915
2021-04-07,39.12,1022175,39.1,39.26,38.91
2021-04-08,38.86,1026495,39.11,39.12,38.6591
2021-04-09,38.97,1132292,39.02,39.11,38.805
2021-04-12,39.17,956203,39.04,39.1799,38.98
2021-04-13,39.01,1116260,39.07,39.085,38.671
2021-04-14,39.24,1356535,39.05,39.46,38.99
2021-04-15,39.34,1331202,39.39,39.39,39.025
2021-04-16,39.52,1007734,39.55,39.72,39.42
2021-04-19,39.37,1427928,39.55,39.6,39.285
2021-04-20,39.03,1136530,39.29,39.29,38.85
2021-04-21,39.62,1058338,39.0,39.655,38.84
2021-04-22,39.06,1167363,39.68,39.68,39.02
2021-04-23,39.53,1034570,39.14,39.64,39.02
2021-04-26,39.69,1339769,39.63,39.9,39.575
2021-04-27,39.8,1004730,39.73,39.845,39.5601
2021-04-28,40.04,1044973,39.91,40.16,39.91
2021-04-29,40.49,1304089,40.3,40.655,40.17
2021-04-30,40.21,1555409,40.42,40.43,40.0699
2021-05-03,40.62,1418419,40.53,40.8986,40.35
2021-05-04,40.8,1527638,40.55,40.81,40.3601
2021-05-05,40.89,767648,40.91,40.925,40.52
2021-05-06,41.44,1503100,40.99,41.44,40.72
2021-05-07,41.74,1474984,41.23,41.76,41.055
2021-05-10,41.86,2068709,42.03,42.41,41.8418
2021-05-11,41.23,1929847,41.46,41.67,40.97
2021-05-12,40.46,6943495,41.32,41.41,40.4
2021-05-13,41.13,6023806,40.42,41.305,40.31
2021-05-14,41.81,5900447,41.35,41.885,41.35
2021-05-17,42.08,4391044,41.8,42.12,41.7062
2021-05-18,41.63,4842424,42.03,42.04,41.61
2021-05-19,41.23,2103039,41.17,41.23,40.55
2021-05-20,41.26,1892362,41.25,41.4216,40.93
2021-05-21,41.45,2147227,41.45,41.67,41.2658
2021-05-24,41.69,1170014,41.67,41.82,41.44
2021-05-25,41.09,2018415,41.75,41.75,41.025
2021-05-26,41.33,1498632,41.18,41.35,41.005
2021-05-27,41.55,1684117,41.59,41.73,41.47
2021-05-28,41.64,1754079,41.76,41.76,41.4
2021-06-01,42.11,1840888,41.94,42.12,41.869
2021-06-02,42.35,1470173,42.22,42.4,41.94
2021-06-03,42.42,1156680,42.18,42.4811,42.07
2021-06-04,42.42,1316275,42.56,42.56,42.1469
2021-06-07,42.42,1817078,42.48,42.56,42.34
2021-06-08,42.51,1847646,42.38,42.5491,42.1
2021-06-09,42.29,1201514,42.52,42.52,42.29
2021-06-10,42.18,1568288,42.61,42.64,42.11
2021-06-11,42.33,1067185,42.29,42.3467,42.11
2021-06-14,42.03,2303242,42.33,42.42,41.82
2021-06-15,42.13,1033385,42.1,42.26,41.87
2021-06-16,41.81,1777472,42.09,42.09,41.61
2021-06-17,40.74,3521427,41.87,41.87,40.54
2021-06-18,39.32,3599458,39.98,39.98,39.29
2021-06-21,40.29,2638951,39.61,40.32,39.61
2021-06-22,40.15,1466004,40.22,40.34,39.9562
