Date,Close/Last,Volume,Open,High,Low
2020-01-02,22.71,65716960,22.1775,22.71,22.055
2020-01-03,22.0925,72660120,21.8225,22.5,21.81
2020-01-06,22.5125,64387120,21.5675,22.52,21.4876
2020-01-07,22.485,57530120,22.535,22.695,22.29
2020-01-08,23.0025,80125320,22.49,23.32,22.3825
2020-01-09,23.5825,73190880,23.5575,23.715,23.18
2020-01-10,23.39,68877920,23.8475,23.8675,23.2825
2020-01-13,24.2075,58643320,23.6825,24.22,23.5775
2020-01-14,23.925,73359480,24.145,24.2875,23.805
2020-01-15,23.94,66501440,23.945,24.2825,23.705
2020-01-16,24.6075,60550280,24.2775,24.6225,24.1325
2020-01-17,24.975,72201280,24.9275,25.0343,24.565
2020-01-21,24.9625,69441040,24.7575,25.1275,24.74
2020-01-22,25.1325,68074280,25.3075,25.5725,25.045
2020-01-23,25.365,71794280,25.0825,25.3975,24.7425
2020-01-24,24.7075,119687240,25.725,25.8025,24.3775
2020-01-27,23.18,99313080,23.0625,23.5863,22.545
2020-01-28,24.2575,85931040,23.6625,24.4175,23.495
2020-01-29,24.345,69285560,24.6563,24.74,24.045
2020-01-30,24.62,100124680,23.9,24.65,23.6625
2020-01-31,23.41,110192000,24.92,24.9375,23.1863
2020-02-03,24.485,87092520,23.7775,24.665,23.7325
2020-02-04,26.1575,70124600,25.5,26.3125,25.255
2020-02-05,26.46,87305960,27.14,27.145,25.9725
2020-02-06,27.105,56566560,26.6275,27.135,26.3525
2020-02-07,26.755,77025920,26.745,27.2025,26.53
2020-02-10,27.72,61624520,26.495,27.7275,26.475
2020-02-11,27.74,96885120,28.175,28.4675,27.52
2020-02-12,28.5525,60803880,28.2225,28.5875,28.025
2020-02-13,28.4425,77641160,27.9475,28.775,27.845
2020-02-14,28.635,56984880,28.555,28.7475,28.27
2020-02-18,28.685,65567760,28.23,28.8579,28.1475
2020-02-19,29.515,52813600,29.2025,29.7,29.0987
2020-02-20,28.675,113828880,29.325,29.495,27.5975
2020-02-21,27.035,103706240,28.265,28.395,26.6825
2020-02-24,23.92,134837040,24.07,24.895,23.4075
2020-02-25,21.985,150396720,24.4825,24.7275,21.735
2020-02-26,22.2875,170269200,22.32,23.4325,21.7875
2020-02-27,18.955,212558200,20.575,21.6025,18.895
2020-02-28,19.25,247674080,17.1025,19.3575,16.875
2020-03-02,21.8775,181759320,19.8175,21.935,18.9925
2020-03-03,19.8175,274063200,22.0925,22.875,19.22
2020-03-04,22.2225,157913760,20.885,22.2875,20.325
2020-03-05,20.2725,193485800,20.56,21.69,19.7725
2020-03-06,19.21,196759520,18.1825,19.52,17.75
2020-03-09,15.3075,203482480,15.3825,17.2875,15.25
2020-03-10,17.69,228126240,16.995,17.7325,15.25
2020-03-11,15.415,217420200,16.445,16.8075,14.75
2020-03-12,11.19,309112960,12.375,14.375,11.1
2020-03-13,14.21,278145360,13.06,14.3281,11.265
2020-03-16,9.3125,329145080,10.115,12.15,9.2475
2020-03-17,10.83,381010320,9.845,11.285,8.9375
2020-03-18,9.8275,424499600,9.075,10.375,8.1825
2020-03-19,10.055,402404400,9.7125,11.02,9.0
2020-03-20,8.8775,391127600,10.7475,10.95,8.775
2020-03-23,8.905,410036800,8.9825,9.5,8.0675
2020-03-24,10.89,414912000,10.3075,10.935,10.0325
2020-03-25,10.6375,417437200,11.05,11.9588,10.27
2020-03-26,12.37,324619960,10.9575,12.5,10.9168
2020-03-27,11.085,278571760,11.4075,12.0825,10.9473
2020-03-30,12.25,208310640,11.395,12.345,11.25
2020-03-31,11.91,365951960,12.1525,12.8825,11.7146
2020-04-01,10.4325,267794960,10.9,11.43,10.155
2020-04-02,11.05,233765480,10.3,11.085,10.1925
2020-04-03,10.605,277242000,10.965,11.2455,10.215
2020-04-06,12.825,259308600,11.7775,13.0475,11.591
2020-04-07,12.8,329004800,13.975,14.0725,12.75
2020-04-08,13.6175,259090080,13.1713,13.75,12.82
2020-04-09,13.6675,276648880,13.9825,14.18,13.3175
2020-04-13,14.1425,213480160,13.5,14.22,13.2685
2020-04-14,15.9775,245024840,15.0125,16.1,14.8475
2020-04-15,15.4475,215843840,15.2275,15.8475,14.9152
2020-04-16,16.275,281460080,15.9525,16.5175,15.4875
2020-04-17,16.6825,231782240,16.9175,17.025,16.0075
2020-04-20,16.1425,193498760,16.2975,16.8775,16.115
2020-04-21,14.3575,259744960,15.665,15.7825,14.0775
2020-04-22,15.6275,137946000,15.2575,15.915,15.0775
2020-04-23,15.525,212433920,15.8075,16.3975,15.43
2020-04-24,16.275,159183560,15.635,16.35,15.3025
2020-04-27,16.5925,152360880,16.795,16.8975,16.41
2020-04-28,15.695,193123640,17.055,17.0575,15.6525
2020-04-29,17.3275,173051880,16.7625,17.5925,16.5225
2020-04-30,17.4425,190272520,17.6025,17.6172,16.9876
2020-05-01,15.8775,173122720,16.33,16.8275,15.625
2020-05-04,16.4375,100377800,15.6337,16.4825,15.5175
2020-05-05,16.9625,144357320,16.9325,17.5562,16.8025
2020-05-06,17.2975,155940440,17.385,17.7813,17.0975
2020-05-07,17.9725,144744960,17.9575,18.1875,17.6412
2020-05-08,18.6975,131418440,18.3875,18.7375,18.13
2020-05-11,19.1625,134691880,18.3675,19.475,18.3125
2020-05-12,18.0225,169681640,19.3675,19.5325,18.0075
2020-05-13,17.34,245559600,18.1475,18.6125,16.69
2020-05-14,17.915,201499600,17.01,17.9225,16.5275
2020-05-15,18.2225,178903360,17.1775,18.275,17.0725
2020-05-18,19.2775,148815080,19.0,19.55,18.805
2020-05-19,19.13,130715280,19.345,19.8925,19.1
2020-05-20,20.25,142707960,19.8025,20.3775,19.8025
2020-05-21,19.6275,161346760,20.31,20.48,19.4825
2020-05-22,19.805,104832480,19.5225,19.8725,19.2625
2020-05-26,19.7225,122601120,20.7625,20.83,19.595
2020-05-27,20.0,173645480,19.5275,20.01,18.345
2020-05-28,19.8725,152612560,19.65,20.8015,19.6375
2020-05-29,20.6925,179473640,20.01,20.83,19.58
2020-06-01,20.9475,105581160,20.5138,21.06,20.4075
2020-06-02,21.365,125357080,21.06,21.3875,20.41
2020-06-03,21.655,107516720,21.5375,21.8725,21.3025
2020-06-04,21.215,133204200,21.5575,21.97,20.8393
2020-06-05,22.4725,140697160,21.475,22.6327,21.375
2020-06-08,22.9725,109272240,22.3975,23.02,21.9753
2020-06-09,23.485,106589760,22.7225,23.745,22.6848
2020-06-10,24.3325,151455520,23.99,24.805,23.845
2020-06-11,20.75,191666000,23.145,23.5525,20.705
2020-06-12,21.2,205938560,22.0724,22.4116,20.1075
2020-06-15,21.9475,199092440,20.27,22.17,20.015
2020-06-16,23.1075,191608880,23.3475,23.53,22.0775
2020-06-17,23.3325,129429080,23.5425,23.865,23.1
2020-06-18,23.5125,106392960,23.235,23.59,23.01
2020-06-19,23.48,144975000,24.2425,24.3075,22.99
2020-06-22,24.315,110066600,23.4775,24.3875,23.3775
2020-06-23,24.95,117449160,24.8425,25.655,24.665
2020-06-24,23.48,196410680,24.725,25.1175,22.9625
2020-06-25,24.1025,150851640,23.4775,24.18,22.685
2020-06-26,22.37,187970560,24.005,24.075,22.225
2020-06-29,23.085,129804640,22.3025,23.1075,21.57
2020-06-30,24.4125,125694360,23.08,24.62,23.0325
2020-07-01,25.285,126068880,24.465,25.6175,24.31
2020-07-02,25.8225,114076080,26.0725,26.4675,25.685
2020-07-06,27.72,105991840,26.825,27.895,26.8225
2020-07-07,27.175,123049560,27.6375,28.54,27.06
2020-07-08,28.22,119965680,27.6075,28.235,27.1225
2020-07-09,28.925,158798200,28.8525,29.1675,27.465
2020-07-10,29.5375,121394680,28.855,29.6125,27.9725
2020-07-13,27.7125,187292200,30.5125,31.4875,27.4225
2020-07-14,28.3,229875400,26.8975,28.43,25.8475
2020-07-15,28.44,183771800,28.715,29.055,27.3475
2020-07-16,27.83,149985800,27.51,28.09,26.7475
2020-07-17,27.96,115501720,28.04,28.26,27.25
2020-07-20,30.34,125810720,28.2,30.5575,27.7725
2020-07-21,29.37,147840520,30.8975,30.9175,29.1
2020-07-22,29.71,113894520,29.5425,30.0325,28.9125
2020-07-23,27.3825,168324280,29.5775,29.81,26.8925
