Date,Close/Last,Volume,Open,High,Low
2020-01-02,$28.684,143375718,$28.30,$28.7131,$28.114
2020-01-03,$29.534,266920367,$29.3667,$30.2667,$29.128
2020-01-06,$30.1027,152362424,$29.3647,$30.104,$29.3333
2020-01-07,$31.2707,273136963,$30.76,$31.442,$30.2237
2020-01-08,$32.8093,467990616,$31.58,$33.2327,$31.2153
2020-01-09,$32.0893,426947637,$33.14,$33.2533,$31.5247
2020-01-10,$31.8767,194652353,$32.1193,$32.3293,$31.58
2020-01-13,$34.9907,399518050,$32.90,$35.042,$32.80
2020-01-14,$35.8614,435920482,$36.2837,$36.494,$34.9934
2020-01-15,$34.5667,260532320,$35.3174,$35.856,$34.4524
2020-01-16,$34.2327,326049587,$32.9167,$34.2974,$32.8113
2020-01-17,$34.0334,204435948,$33.8407,$34.378,$33.544
2020-01-21,$36.48,267051916,$35.35,$36.572,$35.2274
2020-01-22,$37.9707,470535215,$38.126,$39.6334,$37.2734
2020-01-23,$38.1467,294765453,$37.6167,$38.80,$37.0402
2020-01-24,$37.6547,215303892,$38.042,$38.2574,$36.9507
2020-01-27,$37.2014,204120948,$36.1327,$37.6294,$35.952
2020-01-28,$37.7934,176827262,$37.8994,$38.454,$37.2054
2020-01-29,$38.7327,273249913,$38.3794,$39.32,$37.8287
2020-01-30,$42.7207,435084982,$42.1614,$43.392,$41.20
2020-01-31,$43.3714,235788932,$42.6667,$43.5334,$42.168
2020-02-03,$52.00,708502146,$44.9127,$52.4094,$44.9014
2020-02-04,$59.1374,914080943,$58.864,$64.5994,$55.592
2020-02-05,$48.98,726357237,$54.884,$56.3987,$46.9407
2020-02-06,$49.9307,598210951,$46.6614,$53.0554,$45.80
2020-02-07,$49.8714,255952672,$48.7034,$51.3167,$48.6667
2020-02-10,$51.4187,370337215,$53.3334,$54.666,$50.16
2020-02-11,$51.6254,175461962,$51.2527,$52.2338,$50.5334
2020-02-12,$51.1527,180336960,$51.858,$52.65,$50.8914
2020-02-13,$53.60,394340053,$49.456,$54.5334,$49.00
2020-02-14,$53.3354,235405532,$52.4814,$54.198,$52.3667
2020-02-18,$57.2267,250475425,$56.1067,$57.3334,$55.4907
2020-02-19,$61.1614,381344209,$61.5667,$62.9854,$60.068
2020-02-20,$59.9607,264523218,$60.7967,$60.80,$57.3294
2020-02-21,$60.0667,215091642,$60.4654,$60.8707,$58.6967
2020-02-24,$55.586,227882286,$55.9334,$57.5667,$54.8134
2020-02-25,$53.3274,259357070,$56.60,$57.1067,$52.4667
2020-02-26,$51.92,212307494,$52.1667,$54.2207,$51.7407
2020-02-27,$45.2667,364157218,$48.6667,$49.318,$44.60
2020-02-28,$44.5327,368462366,$41.98,$46.0347,$40.768
2020-03-02,$49.5747,302924699,$47.4174,$49.5794,$45.778
2020-03-03,$49.7007,386759807,$53.6667,$53.7987,$47.7407
2020-03-04,$49.9667,225734587,$50.9307,$51.1014,$48.3157
2020-03-05,$48.3027,162789819,$48.2514,$49.7167,$47.8714
2020-03-06,$46.8987,189943705,$46.0003,$47.1334,$45.618
2020-03-09,$40.5334,256105972,$40.3594,$44.1999,$40.3334
2020-03-10,$43.022,233916483,$43.962,$44.5334,$40.5334
2020-03-11,$42.282,201203749,$42.68,$43.572,$40.8667
2020-03-12,$37.37,283635608,$38.726,$39.6334,$36.4167
2020-03-13,$36.4414,339603580,$39.6667,$40.5047,$33.4667
2020-03-16,$29.6713,307341746,$31.30,$32.9913,$29.478
2020-03-17,$28.68,359918520,$29.334,$31.4567,$26.40
2020-03-18,$24.0813,356792222,$25.9333,$26.9907,$23.3673
2020-03-19,$28.5093,452931674,$24.9798,$30.1333,$23.8973
2020-03-20,$28.502,424282288,$29.2133,$31.80,$28.386
2020-03-23,$28.9527,246818127,$28.9067,$29.4667,$27.3667
2020-03-24,$33.6667,343427378,$31.82,$34.246,$31.60
2020-03-25,$35.95,318341091,$36.35,$37.1334,$34.074
2020-03-26,$35.2107,261331069,$36.4927,$37.3334,$34.15
2020-03-27,$34.2907,215661042,$33.6667,$35.0534,$32.9353
2020-03-30,$33.4754,179970960,$34.0174,$34.4432,$32.7487
2020-03-31,$34.9334,266572217,$33.4167,$36.1974,$33.1333
2020-04-01,$32.104,200297600,$33.60,$34.2637,$31.6733
2020-04-02,$30.298,297876301,$32.0687,$32.9507,$29.76
2020-04-03,$32.0007,338431031,$33.9667,$34.366,$31.226
2020-04-06,$34.416,223527488,$34.08,$34.7334,$33.1973
2020-04-07,$36.3634,268796566,$36.3334,$37.6667,$35.4894
2020-04-08,$36.5894,189840205,$36.9467,$37.1472,$35.5554
2020-04-09,$38.20,204749898,$37.4727,$38.3455,$37.1407
2020-04-13,$43.3967,337131131,$39.344,$43.4667,$38.702
2020-04-14,$47.326,458647421,$46.598,$49.4587,$46.162
2020-04-15,$48.6554,353654823,$49.4667,$50.2087,$47.3334
2020-04-16,$49.6807,309867745,$47.796,$50.63,$47.1144
2020-04-17,$50.2594,196923352,$51.4854,$51.6634,$49.844
2020-04-20,$49.7574,221195439,$48.8467,$51.038,$47.4807
2020-04-21,$45.7814,303136198,$48.6747,$50.222,$44.9194
2020-04-22,$48.8074,213372343,$46.932,$48.9334,$45.914
2020-04-23,$47.042,198550401,$48.5067,$48.9334,$46.8754
2020-04-24,$48.3434,198564051,$47.3874,$48.7154,$46.5454
2020-04-27,$53.25,310221445,$49.174,$53.2994,$49.00
2020-04-28,$51.2747,228329286,$53.0427,$53.6667,$50.446
2020-04-29,$53.3674,243239578,$52.678,$53.5467,$52.2107
2020-04-30,$52.1254,427077536,$57.0127,$57.988,$50.90
2020-05-01,$46.7547,487976906,$50.3334,$51.518,$45.536
2020-05-04,$50.746,288556206,$46.7334,$50.80,$46.5334
2020-05-05,$51.214,254874773,$52.6527,$53.2614,$50.812
2020-05-06,$52.172,166848367,$51.7667,$52.6534,$50.7407
2020-05-07,$52.0027,172915264,$51.814,$53.0934,$51.49
2020-05-08,$54.628,241951229,$52.918,$54.9334,$52.4674
2020-05-11,$54.086,247793876,$52.7007,$54.9334,$52.3334
2020-05-12,$53.9607,238603531,$55.1334,$56.2194,$53.8667
