Date,Close/Last,Volume,Open,High,Low
2020-01-02,298.42,3149761,297.29,298.45,296.34
2020-01-03,296.24,3248060,295.22,297.36,295.04
2020-01-06,297.35,2782110,294.42,297.42,294.35
2020-01-07,296.53,2384732,296.82,297.27,296.0611
2020-01-08,298.06,3724359,296.71,299.31,296.47
2020-01-09,300.12,2173883,299.73,300.19,299.09
2020-01-10,299.26,3667003,300.74,300.86,298.79
2020-01-13,301.24,2738733,299.91,301.32,299.48
2020-01-14,300.84,2620725,300.89,301.91,300.32
2020-01-15,301.51,2822336,300.81,302.3,300.69
2020-01-16,304.03,2582603,302.94,304.04,302.71
2020-01-17,305.06,2218062,304.77,305.2,304.2
2020-01-21,304.43,2757878,304.08,305.22,304.0
2020-01-22,304.51,2765293,305.31,305.92,304.32
2020-01-23,304.81,2673069,303.84,304.97,302.664
2020-01-24,302.03,3448207,305.42,305.52,300.8086
2020-01-27,297.23,4301999,296.84,298.73,296.45
2020-01-28,300.45,3562527,298.7,301.22,298.2201
2020-01-29,300.15,2752249,301.78,301.935,299.922
2020-01-30,301.09,4432657,298.04,301.29,297.3
2020-01-31,295.69,6184691,300.44,300.6,294.72
2020-02-03,297.84,3266697,297.12,299.67,297.0348
2020-02-04,302.43,2292773,301.5,303.225,301.16
2020-02-05,305.85,3049942,305.4,306.08,303.87
2020-02-06,306.89,1925534,306.8,307.08,305.81
2020-02-07,305.33,2249279,305.83,306.59,304.74
2020-02-10,307.52,2246940,304.39,307.56,304.35
2020-02-11,308.08,2438848,308.93,309.69,307.605
2020-02-12,310.06,2115750,309.56,310.27,309.17
2020-02-13,309.76,2043427,308.6,310.72,308.36
2020-02-14,310.28,1637209,310.11,310.33,309.0
2020-02-18,309.43,3002985,309.24,309.82,308.0332
2020-02-19,310.92,2257545,310.42,311.59,310.12
2020-02-20,309.7,4617280,310.35,311.187,306.67
2020-02-21,306.49,2678575,308.3,308.58,305.62
2020-02-24,296.24,7096975,296.96,299.378,295.17
2020-02-25,287.34,8465834,297.73,298.23,286.36
2020-02-26,286.07,10284670,288.61,292.28,285.48
2020-02-27,273.39,14897040,280.57,284.4795,273.36
2020-02-28,271.74,23324080,265.32,272.92,262.25
2020-03-02,283.87,12428630,274.0,284.04,270.49
2020-03-03,276.04,9805876,284.34,288.3197,273.36
2020-03-04,287.48,5253926,281.23,287.645,278.7
2020-03-05,277.85,6219956,280.3,283.41,275.61
2020-03-06,273.19,6669112,269.32,274.46,266.6
2020-03-09,252.11,16425910,253.89,260.99,251.15
2020-03-10,263.81,10879060,260.48,263.81,250.0
2020-03-11,250.73,11518410,256.66,257.72,247.62
2020-03-12,226.48,24669260,234.94,243.675,225.81
2020-03-13,247.64,19533610,240.66,247.78,228.1
2020-03-16,218.57,17271540,222.85,234.77,218.1444
2020-03-17,232.88,15115490,223.75,233.95,216.6
2020-03-18,220.15,20177500,216.08,224.74,208.31
2020-03-19,220.34,12441160,218.43,226.0,212.11
2020-03-20,210.74,11533250,222.8,224.563,210.05
2020-03-23,204.27,14128150,209.63,210.7799,200.55
2020-03-24,223.75,13160770,216.39,224.3,214.83
2020-03-25,226.62,11876360,225.0,235.51,220.32
2020-03-26,240.24,12411130,229.272,241.44,228.85
2020-03-27,232.86,11170600,232.7,239.64,230.661
2020-03-30,240.39,8727846,234.92,241.1,232.97
2020-03-31,236.82,10386300,239.45,241.94,235.44
2020-04-01,226.15,13710140,227.92,231.05,224.13
2020-04-02,231.44,6547009,225.335,232.18,224.72
2020-04-03,228.02,5490162,230.43,232.71,225.3412
2020-04-06,243.53,7624036,236.96,245.3,235.93
2020-04-07,243.66,12936590,251.92,252.8,243.455
2020-04-08,251.93,6958583,246.24,253.05,244.05
2020-04-09,255.67,8812596,255.12,258.3899,253.14
2020-04-13,253.19,7666366,254.64,254.9487,249.3766
2020-04-14,260.92,6631120,258.24,261.63,257.21
2020-04-15,255.24,4888851,255.08,256.9,253.11
2020-04-16,256.53,6165690,256.514,257.2999,253.4
2020-04-17,263.61,6738790,262.31,264.0,259.5
2020-04-20,258.86,6498713,259.65,263.1,258.58
2020-04-21,250.95,6526061,254.25,255.49,250.0
2020-04-22,256.47,5634160,255.83,258.23,254.475
2020-04-23,256.42,7665377,257.75,260.8999,256.2
2020-04-24,260.14,4770195,258.0,260.7,255.94
2020-04-27,263.9,3892216,262.01,264.91,261.57
2020-04-28,262.68,5849521,267.48,267.79,262.3
2020-04-29,269.45,6773125,267.98,271.0,266.91
2020-04-30,267.1,7386574,268.08,268.58,265.23
2020-05-01,259.82,4790654,262.14,262.85,258.74
2020-05-04,260.64,4128909,257.92,260.9,256.53
2020-05-05,263.04,4437160,263.45,265.81,262.6
2020-05-06,261.27,3021415,264.71,265.105,261.14
2020-05-07,264.36,3410208,264.45,266.3,263.9
2020-05-08,268.78,3206956,267.53,269.14,266.38
2020-05-11,268.82,3469300,266.78,270.2,266.43
2020-05-12,263.41,5159857,269.98,270.4,263.33
2020-05-13,258.74,5617469,262.87,263.9,256.36
2020-05-14,261.86,7737588,256.33,262.0,253.97
2020-05-15,263.04,3386161,259.54,263.11,258.56
2020-05-18,271.08,6769161,269.32,272.7,269.06
2020-05-19,268.52,4921117,270.61,272.25,268.34
2020-05-20,272.9,4896239,271.92,273.79,271.69
2020-05-21,270.94,3581314,272.8,273.59,269.95
2020-05-22,271.55,2296370,270.76,271.72,269.5
2020-05-26,275.04,4911764,277.53,277.735,274.55
2020-05-27,279.05,5152385,277.78,279.05,272.86
2020-05-28,278.5,4634896,280.03,282.04,277.81
2020-05-29,279.75,7051402,278.03,280.35,275.36
2020-06-01,280.97,3907111,279.07,281.49,278.57
2020-06-02,283.28,4343902,281.79,283.28,280.46
2020-06-03,287.02,5568075,285.2,287.93,284.93
2020-06-04,286.29,3818618,286.0,287.75,284.2
2020-06-05,293.61,6015518,291.63,295.38,291.61
