Date,Close/Last,Volume,Open,High,Low
2020-01-02,164.98,3291790,164.68,164.98,163.78
2020-01-03,163.93,3625467,163.29,164.47,163.01
2020-01-06,164.49,6814345,162.92,164.52,162.83
2020-01-07,164.1,2506286,164.27,164.455,163.7811
2020-01-08,164.91,4246165,164.2,165.545,164.04
2020-01-09,165.94,2217027,165.81,165.9835,165.3634
2020-01-10,165.46,4023446,166.26,166.3,165.2
2020-01-13,166.59,3997159,166.0,166.625,165.52
2020-01-14,166.5,3062057,166.55,167.1216,166.17
2020-01-15,166.91,2479196,166.5,167.4,166.42
2020-01-16,168.34,2205567,167.71,168.37,167.61
2020-01-17,168.76,2272024,169.01,169.01,168.37
2020-01-21,168.4,3174159,168.4,168.85,168.17
2020-01-22,168.5,2113594,168.93,169.32,168.35
2020-01-23,168.69,2370043,168.11,168.765,167.39
2020-01-24,167.09,3292479,169.09,169.09,166.325
2020-01-27,164.58,4693039,164.23,165.32,163.84
2020-01-28,166.17,4010898,165.33,166.665,165.055
2020-01-29,166.06,1751809,166.96,166.99,165.92
2020-01-30,166.46,2835853,165.0,166.61,164.47
2020-01-31,163.52,4525336,166.16,166.205,163.04
2020-02-03,164.96,2783910,164.35,165.83,164.31
2020-02-04,167.56,2732900,166.97,168.02,166.81
2020-02-05,169.21,4133721,169.13,169.35,168.17
2020-02-06,169.68,2202679,169.76,169.83,169.1862
2020-02-07,168.71,2579243,169.05,169.4,168.41
2020-02-10,169.95,2494122,168.28,169.95,168.26
2020-02-11,170.42,2922085,170.74,171.25,170.11
2020-02-12,171.49,2154123,171.24,171.55,170.9112
2020-02-13,171.42,2827640,170.7,171.93,170.55
2020-02-14,171.7,2527813,171.6,171.77,170.98
2020-02-18,171.3,2460051,171.27,171.54,170.53
2020-02-19,172.17,2488116,171.92,172.5567,171.77
2020-02-20,171.65,7061599,171.96,172.43,169.9
2020-02-21,169.89,2984389,170.95,171.03,169.4
2020-02-24,164.3,8710887,164.5,165.87,163.59
2020-02-25,159.28,10112340,165.04,165.39,158.77
2020-02-26,158.4,8217060,160.01,161.81,158.0
2020-02-27,151.46,14384250,155.04,157.53,151.4
2020-02-28,150.44,22283350,146.42,150.59,145.3
2020-03-02,156.67,12071610,151.41,156.82,149.5827
2020-03-03,152.63,8623081,157.34,159.2995,151.08
2020-03-04,158.73,5226594,155.52,158.75,154.05
2020-03-05,153.44,5343365,154.81,156.36,152.11
2020-03-06,150.59,9947744,148.98,151.3396,147.12
2020-03-09,138.5,18537130,140.0,143.63,138.24
2020-03-10,145.37,11693320,144.35,145.41,137.9
2020-03-11,138.01,10797620,141.45,142.2,136.3
2020-03-12,124.59,20969500,129.18,133.67,124.41
2020-03-13,135.93,15351610,132.0,135.93,125.0
2020-03-16,120.46,14652950,121.06,127.99,120.0
2020-03-17,126.5,16645840,122.21,127.37,118.0
2020-03-18,119.21,15388040,118.5,122.36,113.0
2020-03-19,120.09,11083540,117.41,122.8,114.59
2020-03-20,115.19,12264890,121.15,122.6621,114.8
2020-03-23,111.91,16442960,113.65,114.9,109.49
2020-03-24,122.53,10986940,117.63,122.58,117.0
2020-03-25,124.22,14428140,123.54,129.0303,120.59
2020-03-26,131.11,10549130,124.84,131.63,124.66
2020-03-27,126.93,9731535,127.12,130.51,125.51
2020-03-30,130.78,10416330,127.78,131.17,126.635
2020-03-31,128.91,8664872,130.97,131.61,128.0162
2020-04-01,122.96,7911466,124.13,125.62,121.77
2020-04-02,125.52,6244306,122.38,126.13,122.0204
2020-04-03,123.38,6584392,124.85,126.04,121.8602
2020-04-06,132.01,9369426,128.43,132.8,127.78
2020-04-07,132.16,10469910,137.02,137.28,132.08
2020-04-08,136.8,6610419,133.73,137.45,132.42
2020-04-09,139.36,9315671,138.92,140.7801,137.805
2020-04-13,137.7,7291608,138.75,140.06,135.6322
2020-04-14,141.88,5609276,140.59,142.21,139.97
2020-04-15,138.55,5164079,138.74,139.49,137.43
2020-04-16,139.2,5301218,139.27,139.55,137.43
2020-04-17,143.14,6411164,142.71,143.48,141.08
2020-04-20,140.82,5413970,141.0,143.05,140.51
2020-04-21,136.45,6367548,138.1,138.98,135.8669
2020-04-22,139.53,6342857,139.26,140.3,138.3615
2020-04-23,139.55,6198326,140.22,141.98,139.44
2020-04-24,141.63,4407501,140.5,141.97,139.265
2020-04-27,144.14,4968198,142.65,144.66,141.0
