Date,Close/Last,Volume,Open,High,Low
2020-01-02,$39.6467,19978967,$39.62,$39.9633,$39.5672
2020-01-03,$39.2967,16203500,$39.4233,$39.5962,$39.1967
2020-01-06,$39.2167,19339637,$39.1333,$39.3633,$38.9233
2020-01-07,$38.8533,20610143,$39.0867,$39.1717,$38.7333
2020-01-08,$38.72,17641451,$38.7667,$38.91,$38.56
2020-01-09,$39.12,16696898,$38.7167,$39.1233,$38.6935
2020-01-10,$38.7933,18166106,$39.08,$39.1133,$38.66
2020-01-13,$38.6267,18342296,$38.7933,$38.85,$38.4567
2020-01-14,$38.7267,19761965,$38.49,$38.7366,$38.3767
2020-01-15,$38.4267,22362530,$38.21,$38.6233,$38.1733
2020-01-16,$38.6333,16108292,$38.50,$38.6433,$38.4267
2020-01-17,$38.32,30135033,$38.6833,$38.7667,$38.2133
2020-01-21,$38.53,22061036,$38.1967,$38.5633,$38.1717
2020-01-22,$38.70,14779156,$38.4067,$38.8433,$38.3933
2020-01-23,$38.6033,12915523,$38.7367,$38.77,$38.3467
2020-01-24,$38.1233,13150285,$38.6667,$38.6767,$38.05
2020-01-27,$38.62,21055220,$37.73,$38.7433,$37.56
2020-01-28,$38.8667,15810908,$38.66,$38.9667,$38.6499
2020-01-29,$38.63,11333002,$38.8533,$39.04,$38.63
2020-01-30,$38.86,13744777,$38.5367,$38.9067,$38.4438
2020-01-31,$38.1633,23327363,$38.60,$38.7533,$37.9667
2020-02-03,$38.09,13055587,$38.30,$38.4633,$38.0333
2020-02-04,$38.4233,15696668,$38.4133,$38.7467,$38.2967
2020-02-05,$38.9367,17048660,$38.5333,$38.9833,$38.2833
2020-02-06,$38.77,16058768,$38.9433,$39.0767,$38.6867
2020-02-07,$38.8167,11069917,$38.7033,$38.92,$38.5867
2020-02-10,$38.4167,18434606,$38.5833,$38.9933,$38.3483
2020-02-11,$38.4667,17391605,$38.4767,$38.50,$38.1467
2020-02-12,$38.6167,14206654,$38.50,$38.8067,$38.47
2020-02-13,$39.1467,15999563,$38.6167,$39.1783,$38.527
2020-02-14,$39.2967,24391946,$39.2233,$39.5233,$39.0517
2020-02-18,$39.8767,34548363,$39.49,$39.9833,$39.12
2020-02-19,$39.2267,21563315,$39.8333,$39.98,$39.2267
2020-02-20,$39.23,15069983,$39.07,$39.37,$38.9533
2020-02-21,$39.5267,18727580,$39.1467,$39.5833,$39.1033
2020-02-24,$38.7733,19848116,$39.1533,$39.4867,$38.6507
2020-02-25,$38.13,23293031,$38.7833,$39.0233,$38.0167
2020-02-26,$37.9267,20021132,$38.2333,$38.39,$37.8833
2020-02-27,$36.80,28476792,$37.52,$38.0233,$36.7833
2020-02-28,$35.8933,52512245,$35.8967,$36.1733,$34.79
2020-03-02,$38.6267,51222725,$35.8667,$38.7991,$35.7633
2020-03-03,$37.6367,33340923,$38.6933,$39.1767,$37.4467
2020-03-04,$38.9233,24625268,$38.08,$38.9467,$37.8233
